image_path,label,quality,p_cloud
renders/Beer_Lambert\beer_lambert_--width=1200_HIGH_BACKLIT_FOG_MixedVolume_20250705-121641.png,Beer-Lambert,HIGH,0.9202305376529694
renders/Beer_Lambert\beer_lambert_--width=1200_HIGH_BACKLIT_FOG_MixedVolume_20250705-121651.png,Beer-Lambert,HIGH,0.8663274943828583
renders/Beer_Lambert\beer_lambert_--width=1200_HIGH_DARK_MixedVolume_20250705-105709.png,Beer-Lambert,HIGH,0.8969703763723373
renders/Beer_Lambert\beer_lambert_--width=1200_HIGH_DIFFUSE_MixedVolume_20250705-105905.png,Beer-Lambert,HIGH,0.7505426853895187
renders/Beer_Lambert\beer_lambert_--width=1200_HIGH_FRONT_FILL_MixedVolume_20250705-105348.png,Beer-Lambert,HIGH,0.6147750020027161
renders/Beer_Lambert\beer_lambert_--width=1200_HIGH_FRONT_FILL_MixedVolume_20250705-121510.png,Beer-Lambert,HIGH,0.970333319157362
renders/Beer_Lambert\beer_lambert_--width=1200_HIGH_FRONT_FILL_MixedVolume_20250705-121547.png,Beer-Lambert,HIGH,0.9300229176878929
renders/Beer_Lambert\beer_lambert_--width=1200_HIGH_SIDE_FILL_MixedVolume_20250705-105156.png,Beer-Lambert,HIGH,0.8977843299508095
renders/Beer_Lambert\beer_lambert_--width=1200_HIGH_SPOTLIGHT_SMOKE_MixedVolume_20250705-105037.png,Beer-Lambert,HIGH,0.47288215160369873
renders/Beer_Lambert\beer_lambert_--width=1200_HIGH_WARM_MixedVolume_20250705-105534.png,Beer-Lambert,HIGH,0.8224626928567886
renders/Beer_Lambert\beer_lambert_--width=1200_LOW_BACKLIT_FOG_MixedVolume_20250705-104720.png,Beer-Lambert,LOW,0.05274730920791626
renders/Beer_Lambert\beer_lambert_--width=1200_LOW_BACKLIT_FOG_MixedVolume_20250705-105007.png,Beer-Lambert,LOW,0.033101022243499756
renders/Beer_Lambert\beer_lambert_--width=1200_LOW_DARK_MixedVolume_20250705-105654.png,Beer-Lambert,LOW,0.1310901641845703
renders/Beer_Lambert\beer_lambert_--width=1200_LOW_DARK_MixedVolume_20250705-121938.png,Beer-Lambert,LOW,0.11144042015075684
renders/Beer_Lambert\beer_lambert_--width=1200_LOW_DIFFUSE_MixedVolume_20250705-105858.png,Beer-Lambert,LOW,0.05842214822769165
renders/Beer_Lambert\beer_lambert_--width=1200_LOW_FRONT_FILL_MixedVolume_20250705-105341.png,Beer-Lambert,LOW,0.02040278911590576
renders/Beer_Lambert\beer_lambert_--width=1200_LOW_SIDE_FILL_MixedVolume_20250705-105149.png,Beer-Lambert,LOW,0.07942551374435425
renders/Beer_Lambert\beer_lambert_--width=1200_LOW_SPOTLIGHT_SMOKE_MixedVolume_20250705-105028.png,Beer-Lambert,LOW,0.036017775535583496
renders/Beer_Lambert\beer_lambert_--width=1200_LOW_WARM_MixedVolume_20250705-105526.png,Beer-Lambert,LOW,0.004796206951141357
renders/Beer_Lambert\beer_lambert_--width=1200_LOW_WARM_MixedVolume_20250705-121935.png,Beer-Lambert,LOW,0.03394216299057007
renders/Beer_Lambert\beer_lambert_--width=1200_MID_BACKLIT_FOG_MixedVolume_20250705-122113.png,Beer-Lambert,MID,0.6201778054237366
renders/Beer_Lambert\beer_lambert_--width=1200_MID_BACKLIT_FOG_MixedVolume_20250705-122118.png,Beer-Lambert,MID,0.2703869342803955
renders/Beer_Lambert\beer_lambert_--width=1200_MID_BACKLIT_FOG_MixedVolume_20250705-122124.png,Beer-Lambert,MID,0.41787946224212646
renders/Beer_Lambert\beer_lambert_--width=1200_MID_DARK_MixedVolume_20250705-105705.png,Beer-Lambert,MID,0.6779042780399323
renders/Beer_Lambert\beer_lambert_--width=1200_MID_DARK_MixedVolume_20250705-122033.png,Beer-Lambert,MID,0.444313645362854
renders/Beer_Lambert\beer_lambert_--width=1200_MID_DIFFUSE_MixedVolume_20250705-105901.png,Beer-Lambert,MID,0.7559444755315781
renders/Beer_Lambert\beer_lambert_--width=1200_MID_FRONT_FILL_MixedVolume_20250705-105346.png,Beer-Lambert,MID,0.7322388291358948
renders/Beer_Lambert\beer_lambert_--width=1200_MID_SIDE_FILL_MixedVolume_20250705-105152.png,Beer-Lambert,MID,0.9427433349192142
renders/Beer_Lambert\beer_lambert_--width=1200_MID_SPOTLIGHT_SMOKE_MixedVolume_20250705-105033.png,Beer-Lambert,MID,0.6894169449806213
renders/Beer_Lambert\beer_lambert_--width=1200_MID_WARM_MixedVolume_20250705-105530.png,Beer-Lambert,MID,0.8738651275634766
renders/Beer_Lambert\beer_lambert_--width=1200_ULTRA_BACKLIT_FOG_MixedVolume_20250705-121711.png,Beer-Lambert,ULTRA,0.8764007911086082
renders/Beer_Lambert\beer_lambert_--width=1200_ULTRA_DARK_MixedVolume_20250705-105714.png,Beer-Lambert,ULTRA,0.8772303909063339
renders/Beer_Lambert\beer_lambert_--width=1200_ULTRA_DIFFUSE_MixedVolume_20250705-105910.png,Beer-Lambert,ULTRA,0.7729713618755341
renders/Beer_Lambert\beer_lambert_--width=1200_ULTRA_FRONT_FILL_MixedVolume_20250705-105352.png,Beer-Lambert,ULTRA,0.6441320180892944
renders/Beer_Lambert\beer_lambert_--width=1200_ULTRA_SIDE_FILL_MixedVolume_20250705-105201.png,Beer-Lambert,ULTRA,0.8510932773351669
renders/Beer_Lambert\beer_lambert_--width=1200_ULTRA_SPOTLIGHT_SMOKE_MixedVolume_20250705-105043.png,Beer-Lambert,ULTRA,0.5241296291351318
renders/Beer_Lambert\beer_lambert_--width=1200_ULTRA_TOP_DOWN_CLOUD_MixedVolume_20250705-121804.png,Beer-Lambert,ULTRA,0.8359190076589584
renders/Beer_Lambert\beer_lambert_--width=1200_ULTRA_TOP_DOWN_CLOUD_MixedVolume_20250705-121828.png,Beer-Lambert,ULTRA,0.9558755792677402
renders/Beer_Lambert\beer_lambert_--width=1200_ULTRA_WARM_MixedVolume_20250705-105539.png,Beer-Lambert,ULTRA,0.8128489106893539
