# RunType: QualityPreset: LOW
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,14.6484,14.2584,0.89201874,3.6225932,9.308805,1440000,0.18888032,13.9795,0.0297375
1,12.0161,11.63744,0.8920611,3.6227036,9.308716,1440000,0.18888113,13.979092,0.029738888
2,13.4644,12.888064,0.8920604,3.6232529,9.30875,1440000,0.18888174,13.9793215,0.029739583
3,12.697599,12.382208,0.892125,3.6235895,9.308786,1440000,0.18888235,13.979417,0.029740278
4,12.434001,12.147808,0.8921201,3.624102,9.3087435,1440000,0.18888289,13.979364,0.029738888
5,13.296999,13.02176,0.89215696,3.6244235,9.308567,1440000,0.18888354,13.979779,0.029741667
6,12.500101,12.220736,0.8922,3.6245,9.308649,1440000,0.18888415,13.979603,0.02974375
7,13.3422,13.038112,0.89218956,3.624825,9.308596,1440000,0.18888478,13.979507,0.029743055
8,13.130199,12.800448,0.89199376,3.6250563,9.308516,1440000,0.1888854,13.979729,0.029740972
9,11.9859,11.68688,0.8921437,3.625627,9.308515,1440000,0.18888609,13.97958,0.029740278
10,12.502901,12.216544,0.8921903,3.6260722,9.308547,1440000,0.18888666,13.979376,0.029742362
11,12.2926,11.97104,0.8920222,3.6261313,9.308352,1440000,0.18888722,13.979858,0.029738888
12,12.4074,12.051424,0.8919396,3.6267097,9.308257,1440000,0.18888785,13.979813,0.029735416
13,12.7214,12.393504,0.8917965,3.6267333,9.308109,1440000,0.18888842,13.979995,0.029730555
14,12.6037,12.31312,0.8917347,3.627068,9.308104,1440000,0.18888898,13.979792,0.029729167
15,13.5574,13.282304,0.891659,3.6273265,9.308025,1440000,0.1888896,13.980417,0.029725
16,12.5939,12.290464,0.89179724,3.6276445,9.307645,1440000,0.1888902,13.981245,0.029728472
17,12.823199,12.541952,0.8917965,3.6280916,9.307555,1440000,0.18889083,13.981235,0.029730555
18,13.326001,12.869632,0.891725,3.6281812,9.307481,1440000,0.18889138,13.981199,0.029728472
19,12.6247,12.302336,0.8916847,3.6282167,9.30733,1440000,0.18889195,13.980971,0.02972639
20,12.7164,12.392512,0.8916799,3.628741,9.307233,1440000,0.18889248,13.981453,0.029728472
21,12.363699,12.07696,0.8917007,3.6291492,9.307012,1440000,0.1888932,13.981073,0.029727083
22,12.631,12.288384,0.8916271,3.629416,9.306912,1440000,0.18889366,13.981295,0.029727083
23,13.8651,13.545472,0.89158124,3.6293528,9.306837,1440000,0.18889418,13.981043,0.029725695
24,12.412001,12.11392,0.89163405,3.6299431,9.306561,1440000,0.1888947,13.980952,0.029724305
25,12.961,12.672864,0.89155626,3.6302972,9.306431,1440000,0.18889515,13.980949,0.029720139
26,12.5839,12.29216,0.89158887,3.6307535,9.306335,1440000,0.18889563,13.980731,0.029721528
27,12.5693,12.276736,0.8916153,3.6311555,9.3061,1440000,0.18889609,13.98053,0.029724305
28,13.2866,12.94656,0.8915493,3.6319187,9.306073,1440000,0.18889645,13.980634,0.029722223
29,12.687,12.375648,0.89159304,3.6325333,9.305994,1440000,0.18889685,13.980663,0.02972639
30,12.5055,12.176352,0.89158404,3.6327007,9.30595,1440000,0.1888971,13.980175,0.029725695
31,12.509,12.226048,0.89149374,3.6328006,9.305867,1440000,0.1888974,13.980256,0.029720834
32,12.4102,12.12672,0.89156044,3.6332994,9.305945,1440000,0.1888977,13.980055,0.029722916
33,13.0517,12.75136,0.89153194,3.6333237,9.305986,1440000,0.18889794,13.9799185,0.02972361
34,12.9245,12.572896,0.8914625,3.633357,9.305911,1440000,0.18889828,13.979665,0.02971875
35,12.6139,12.281856,0.89146805,3.6334562,9.3059025,1440000,0.18889861,13.979677,0.029717362
36,13.3239,13.047936,0.8913722,3.6332536,9.306073,1440000,0.188899,13.9794235,0.029716667
37,13.0625,12.735776,0.89140767,3.6334271,9.305953,1440000,0.18889926,13.979237,0.029717362
38,12.2975,11.966784,0.89156735,3.6332881,9.305966,1440000,0.18889952,13.9783325,0.029722223
39,12.3962,12.06912,0.8916486,3.6332874,9.306066,1440000,0.18889977,13.977752,0.029725695
40,12.216,11.937792,0.8917528,3.633286,9.305982,1440000,0.18889998,13.976843,0.029729167
41,13.5479,13.258752,0.89171594,3.6334486,9.306025,1440000,0.18890035,13.976517,0.029729167
42,12.739299,12.4416,0.8916625,3.6335006,9.306002,1440000,0.18890066,13.975414,0.02972361
43,12.561201,12.276448,0.89170974,3.6331382,9.306048,1440000,0.18890081,13.974893,0.029725695
44,13.4328,13.070336,0.8917743,3.6333778,9.306116,1440000,0.18890098,13.974211,0.029728472
45,13.0021,12.625952,0.8916514,3.6331778,9.306185,1440000,0.18890117,13.973864,0.02972361
46,13.641799,13.07648,0.8916396,3.6329145,9.306263,1440000,0.1889013,13.973271,0.029722916
47,12.4458,12.108288,0.89162153,3.6326993,9.306526,1440000,0.18890148,13.973165,0.029724305
48,13.706001,13.387776,0.8916069,3.632291,9.306694,1440000,0.18890177,13.972739,0.02972361
49,14.1881,13.86912,0.8915986,3.6322029,9.306693,1440000,0.18890198,13.972233,0.02972361
50,13.1928,12.834816,0.8916507,3.6318681,9.306768,1440000,0.18890223,13.971869,0.02972639
51,13.8017,13.439776,0.8916417,3.631277,9.306851,1440000,0.18890241,13.971037,0.029725695
52,13.5531,13.147392,0.89164096,3.6302242,9.306902,1440000,0.1889026,13.970335,0.029727083
53,13.0014,12.685664,0.8915687,3.6298506,9.307003,1440000,0.18890285,13.969936,0.029722916
54,14.1065,13.793408,0.8913646,3.6293957,9.307298,1440000,0.188903,13.969218,0.029716667
55,12.507899,12.183104,0.891332,3.6282952,9.307372,1440000,0.18890318,13.968735,0.029716667
56,12.637401,12.345216,0.8913035,3.6279118,9.30756,1440000,0.18890335,13.9681225,0.029713195
57,12.407199,12.052064,0.89135,3.6274638,9.307699,1440000,0.18890345,13.967818,0.029719444
58,12.258201,11.978752,0.89151806,3.6269453,9.307686,1440000,0.18890353,13.967245,0.029722916
59,13.4963,13.21632,0.89135695,3.626725,9.307666,1440000,0.18890361,13.967045,0.029715972
60,12.5852,12.304384,0.89131457,3.6267292,9.307788,1440000,0.18890375,13.967169,0.029715972
61,13.4157,13.09632,0.89119446,3.626425,9.30783,1440000,0.18890382,13.966499,0.02971389
62,12.8602,12.53104,0.891159,3.6261103,9.308002,1440000,0.18890384,13.9654255,0.029710416
63,12.5049,12.153792,0.89113194,3.6252756,9.307993,1440000,0.18890382,13.965248,0.029708333
64,13.2133,12.889696,0.89100623,3.625057,9.308045,1440000,0.18890385,13.964521,0.029705556
65,11.7258,11.429888,0.8910611,3.624559,9.308198,1440000,0.18890382,13.96438,0.029707639
66,15.098299,13.099744,0.8911139,3.623709,9.308212,1440000,0.18890378,13.964249,0.029709028
67,13.8206,13.47584,0.89117295,3.6233194,9.308159,1440000,0.18890367,13.963827,0.02971111
68,13.603501,13.217792,0.8911639,3.6226034,9.308339,1440000,0.18890361,13.963214,0.029709723
69,13.6597,13.33248,0.89108264,3.6221778,9.308262,1440000,0.18890359,13.962121,0.029709028
70,13.169,12.80032,0.8912215,3.6217902,9.308459,1440000,0.18890351,13.96151,0.029714582
71,13.732999,13.367296,0.8912125,3.6215284,9.30848,1440000,0.18890344,13.960936,0.02971111
72,13.434701,13.114816,0.8911743,3.621357,9.308736,1440000,0.18890326,13.96069,0.029709723
73,12.7904,12.385664,0.89121944,3.620746,9.308697,1440000,0.18890312,13.960227,0.029709028
74,14.3272,13.918752,0.8911507,3.6194854,9.308867,1440000,0.18890303,13.960498,0.029710416
75,13.9028,13.568,0.8910979,3.619134,9.308871,1440000,0.1889029,13.960154,0.029709028
76,14.1978,13.879744,0.8911021,3.6183708,9.308992,1440000,0.1889027,13.959123,0.029710416
77,12.708,12.364,0.89115626,3.618039,9.309093,1440000,0.18890245,13.95829,0.029709028
78,13.9904,13.596672,0.89110345,3.6176925,9.309112,1440000,0.18890227,13.957781,0.029708333
79,15.0557,14.68864,0.8909354,3.6170895,9.3091955,1440000,0.18890198,13.956919,0.02970139
80,13.355499,13.074432,0.89090836,3.61655,9.309218,1440000,0.18890168,13.956188,0.02970139
81,14.8472,14.478752,0.8909208,3.6158834,9.30934,1440000,0.1889014,13.954745,0.0297
82,13.9417,13.59824,0.8909944,3.6153598,9.309433,1440000,0.18890107,13.953902,0.029703472
83,14.183201,13.789184,0.89098126,3.6144743,9.30966,1440000,0.18890077,13.953451,0.02970139
84,13.8389,13.5048,0.8910264,3.6133604,9.309932,1440000,0.18890037,13.952719,0.029706944
85,12.9905,12.675616,0.8909799,3.6129432,9.310188,1440000,0.18889989,13.951982,0.029704167
86,13.2255,12.920256,0.89084864,3.6118867,9.310457,1440000,0.18889947,13.95141,0.0297
87,13.0982,12.816384,0.89084584,3.6109562,9.310597,1440000,0.18889919,13.950636,0.02969861
88,13.1542,12.771328,0.8908854,3.6101139,9.310605,1440000,0.1888989,13.949617,0.029702084
89,13.2375,12.901248,0.8908632,3.6096215,9.31055,1440000,0.18889849,13.948612,0.029699305
90,13.61,13.31664,0.8908854,3.608666,9.310404,1440000,0.18889812,13.94788,0.02970139
91,13.2471,12.956576,0.8907743,3.6077847,9.310247,1440000,0.18889783,13.94692,0.029697223
92,13.0621,12.746464,0.8907625,3.607221,9.3101015,1440000,0.18889745,13.946633,0.029695138
93,12.5095,12.138784,0.8908597,3.6066494,9.309829,1440000,0.18889715,13.945868,0.0297
94,12.647199,12.332928,0.8907368,3.6062014,9.309851,1440000,0.18889678,13.944973,0.029695138
95,12.424601,12.122944,0.8907639,3.6055443,9.30977,1440000,0.18889639,13.943665,0.029695138
96,13.327,12.988416,0.8907604,3.60495,9.30966,1440000,0.18889599,13.9434185,0.029696528
97,12.5737,12.261696,0.89084864,3.604255,9.309657,1440000,0.1888956,13.9424515,0.02969861
98,12.7467,12.464128,0.8908,3.6034138,9.309551,1440000,0.18889515,13.941147,0.02969861
99,13.2098,12.928224,0.8907972,3.6026883,9.309445,1440000,0.18889472,13.940042,0.029699305
100,12.8374,12.549184,0.8908806,3.6020124,9.30928,1440000,0.18889423,13.938929,0.02970139
101,13.0625,12.712288,0.8909257,3.6013258,9.309057,1440000,0.1888937,13.937953,0.029702084
102,12.3802,12.019712,0.8910493,3.60125,9.309014,1440000,0.18889321,13.936865,0.029705556
103,11.8929,11.696384,0.8911354,3.6004424,9.308887,1440000,0.18889272,13.936052,0.029706944
104,12.867899,12.530176,0.8908847,3.5997682,9.308773,1440000,0.18889216,13.935656,0.029700695
105,12.9947,12.685312,0.8908687,3.5992284,9.308674,1440000,0.18889152,13.934635,0.02970139
106,12.362801,11.944416,0.89099723,3.5988932,9.308601,1440000,0.18889092,13.933304,0.029704861
107,12.627,12.277312,0.8909618,3.598041,9.308635,1440000,0.18889035,13.932299,0.029703472
108,13.1514,12.846944,0.89078265,3.5972667,9.308556,1440000,0.18888985,13.931028,0.029697917
