# RunType: QualityPreset: HIGH
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,61.1197,60.524608,2.2547777,18.646042,9.282056,1440000,0.19428995,30.182877,0.028184723
1,56.882799,56.33024,2.2552223,18.63232,9.281777,1440000,0.19428091,30.16932,0.028190278
2,59.038501,58.576128,2.2562222,18.615765,9.280621,1440000,0.19427213,30.152607,0.028202778
3,63.777499,63.307808,2.2535,18.60275,9.279764,1440000,0.19426294,30.136015,0.02816875
4,61.7801,61.34352,2.252889,18.584047,9.278459,1440000,0.1942529,30.115395,0.02816111
5,59.613201,59.138048,2.2527223,18.568098,9.2784815,1440000,0.19424428,30.0993,0.028159028
6,59.3514,58.73664,2.2513888,18.549244,9.279593,1440000,0.19423448,30.080227,0.028142361
7,59.636499,59.072512,2.2496667,18.53155,9.278778,1440000,0.19422477,30.059994,0.028120833
8,60.307601,59.665056,2.2493334,18.512077,9.276934,1440000,0.19421576,30.038343,0.028116666
9,55.7173,55.340416,2.2468333,18.49526,9.276878,1440000,0.19420741,30.018972,0.028085416
10,58.1843,57.847872,2.2459445,18.477528,9.278001,1440000,0.1942005,30.001472,0.028074306
11,58.7378,58.309728,2.2451668,18.46715,9.2795,1440000,0.19419247,29.991817,0.028064582
12,59.0632,58.655136,2.2444444,18.450012,9.279833,1440000,0.19418396,29.974289,0.028055556
13,60.714,60.332032,2.2428334,18.433586,9.279807,1440000,0.1941764,29.956226,0.028035417
14,63.0616,62.726272,2.2430556,18.421394,9.279834,1440000,0.19416767,29.944283,0.028038194
15,61.253099,60.866304,2.2425556,18.410719,9.280416,1440000,0.19415714,29.93369,0.028031945
16,57.574101,57.170848,2.242,18.400206,9.281479,1440000,0.19414723,29.923685,0.028025
17,59.367599,58.953984,2.241722,18.392298,9.283208,1440000,0.19414094,29.917229,0.028021527
18,55.460501,55.11424,2.242389,18.385702,9.284682,1440000,0.19413479,29.912773,0.02802986
19,57.5602,57.208832,2.2421112,18.379492,9.286417,1440000,0.19413096,29.90802,0.028026389
20,60.2283,59.848224,2.241,18.376173,9.288292,1440000,0.19412982,29.905464,0.0280125
21,64.3553,63.952384,2.241778,18.375267,9.289861,1440000,0.19412664,29.906906,0.028022222
22,60.731,60.327936,2.2415,18.37141,9.290655,1440000,0.19412181,29.903566,0.02801875
23,59.631,59.237728,2.2408888,18.372316,9.291043,1440000,0.19411789,29.904247,0.028011112
24,60.834499,60.401664,2.2412221,18.369003,9.291632,1440000,0.19411257,29.901857,0.028015278
25,54.419201,54.011104,2.2431111,18.365479,9.291069,1440000,0.19410862,29.899658,0.02803889
