# RunType: QualityPreset: MID
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,26.930899,26.467872,1.3653125,5.9626384,9.248806,1440000,0.19440533,16.576757,0.02730625
1,26.741,25.948704,1.3663194,5.962316,9.248009,1440000,0.19440679,16.576645,0.027326388
2,25.3488,24.688448,1.3669444,5.960986,9.247795,1440000,0.19440754,16.575726,0.027338888
3,24.565601,24.111392,1.3670764,5.959382,9.247854,1440000,0.19440897,16.574312,0.027341668
4,24.524799,24.04816,1.3669444,5.9602203,9.247848,1440000,0.19440965,16.575012,0.027338888
5,24.1724,23.717088,1.3671104,5.958694,9.247888,1440000,0.19441041,16.573692,0.02734236
6,24.601301,24.09712,1.3674653,5.956319,9.247998,1440000,0.19441143,16.571781,0.027349306
7,24.9457,24.451072,1.3674306,5.9574876,9.248071,1440000,0.1944116,16.572989,0.027348612
8,25.3182,24.861536,1.3676041,5.9569917,9.248143,1440000,0.1944123,16.572739,0.027352083
9,25.3544,24.778624,1.3671528,5.956891,9.248601,1440000,0.19441287,16.572645,0.027343055
10,25.9354,25.45664,1.3676041,5.956098,9.248593,1440000,0.19441333,16.572296,0.027352083
11,24.819099,24.103456,1.3675,5.954939,9.249059,1440000,0.19441442,16.571497,0.02735
12,24.2796,23.846912,1.3675694,5.9536185,9.249103,1440000,0.19441494,16.57029,0.027351389
13,23.7276,23.36768,1.3679167,5.9517474,9.249059,1440000,0.19441502,16.568722,0.027358333
14,24.042201,23.689568,1.3685069,5.950636,9.249107,1440000,0.19441502,16.56825,0.027370138
15,24.666699,24.344576,1.3679861,5.948698,9.249631,1440000,0.19441508,16.566315,0.027359722
16,24.090601,23.743296,1.3683333,5.946967,9.24937,1440000,0.19441578,16.56467,0.027366666
17,24.9597,24.58624,1.3685764,5.9468083,9.248928,1440000,0.19441599,16.564312,0.027371528
18,24.5667,24.148064,1.3685049,5.9460006,9.248814,1440000,0.19441631,16.56332,0.027370138
19,24.0075,23.62608,1.3686458,5.945162,9.248326,1440000,0.19441664,16.562134,0.027372917
20,24.891,24.552256,1.3690277,5.9437723,9.247875,1440000,0.1944173,16.560675,0.027380556
21,25.355999,24.984352,1.3693403,5.9434805,9.247353,1440000,0.19441713,16.560173,0.027386805
22,24.043301,23.681024,1.3695139,5.94249,9.246877,1440000,0.19441682,16.55888,0.027390277
23,24.606399,24.235712,1.3692708,5.9439645,9.246433,1440000,0.19441703,16.55967,0.027385417
24,23.932601,23.588864,1.3695834,5.9432125,9.246169,1440000,0.1944171,16.558964,0.027391667
25,23.661499,23.284992,1.3697916,5.942885,9.245463,1440000,0.19441657,16.55814,0.027395833
26,24.738601,24.356864,1.3696527,5.942978,9.24531,1440000,0.19441587,16.557941,0.027393056
27,23.6575,23.297504,1.3693966,5.942117,9.245165,1440000,0.19441539,16.556679,0.027388195
28,24.1261,23.785472,1.3695486,5.9390993,9.244907,1440000,0.19441484,16.553555,0.027390972
29,24.0224,23.656832,1.3698264,5.939457,9.244486,1440000,0.19441414,16.553768,0.027396528
30,24.0579,23.615296,1.3698577,5.9396853,9.244257,1440000,0.19441316,16.5538,0.027397223
31,25.087,24.728832,1.3700695,5.940023,9.244171,1440000,0.1944118,16.554264,0.02740139
32,25.021399,24.612768,1.3700695,5.93921,9.243619,1440000,0.19441083,16.552898,0.02740139
33,23.8502,23.44896,1.3701736,5.940206,9.243318,1440000,0.19440919,16.553698,0.027403472
34,24.443601,24.027008,1.3702084,5.938661,9.243257,1440000,0.19440824,16.552126,0.027404167
35,24.375499,24.015104,1.3701042,5.9373665,9.24282,1440000,0.19440737,16.550291,0.027402082
36,25.188701,24.744672,1.3704132,5.9365015,9.24256,1440000,0.1944063,16.549475,0.027408333
37,23.7732,23.379936,1.3705903,5.9360104,9.242321,1440000,0.1944055,16.548922,0.027411805
38,23.812299,23.447552,1.3705208,5.9375257,9.242201,1440000,0.19440487,16.550247,0.027410416
39,25.268301,24.933792,1.3709028,5.9368043,9.241691,1440000,0.19440398,16.549397,0.027418055
40,25.4083,25.01872,1.370832,5.9368,9.241627,1440000,0.19440241,16.54926,0.027416667
