# RunType: QualityPreset: ULTRA
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,182.644699,182.121888,3.5818334,48.935673,9.396099,1440000,0.19448102,61.913605,0.029848611
1,182.475201,181.867264,3.583,48.988655,9.398316,1440000,0.1944358,61.96997,0.029858334
2,175.7632,175.17008,3.58725,49.032883,9.394844,1440000,0.19438341,62.014977,0.02989375
3,181.621499,180.928512,3.5903332,49.060154,9.39438,1440000,0.19432928,62.044865,0.029919444
4,182.314001,181.762048,3.5894167,49.086056,9.394751,1440000,0.19427088,62.07022,0.029911805
5,183.879099,183.402496,3.58625,49.105556,9.397123,1440000,0.19421007,62.08893,0.029885417
6,182.857001,182.480896,3.5805833,49.122627,9.399314,1440000,0.19414566,62.102524,0.029838195
7,175.876699,175.523616,3.5759168,49.139465,9.401759,1440000,0.19408007,62.11714,0.029799305
8,180.407001,179.993952,3.5666666,49.14632,9.4011545,1440000,0.19401908,62.11414,0.029722223
9,189.425799,188.964736,3.55775,49.150124,9.399717,1440000,0.1939609,62.10759,0.029647917
10,197.076501,196.730784,3.54125,49.16298,9.403838,1440000,0.19390419,62.108067,0.029510416
11,194.2169,193.768224,3.5256667,49.171955,9.404295,1440000,0.19384971,62.101913,0.029380556
12,175.1317,174.68784,3.5086668,49.1763,9.407305,1440000,0.19380167,62.09227,0.029238889
13,183.0043,182.430304,3.4938333,49.191387,9.410464,1440000,0.19375986,62.095684,0.029115278
14,191.1659,190.783488,3.4859166,49.21097,9.415152,1440000,0.19371857,62.112038,0.029049305
15,188.6143,188.231584,3.4776666,49.21897,9.418229,1440000,0.19367626,62.114864,0.028980555
16,176.2326,175.747168,3.466,49.241627,9.419019,1440000,0.19363539,62.126644,0.028883334
17,190.672299,190.283776,3.4508333,49.250122,9.422779,1440000,0.19359738,62.123734,0.028756944
18,184.996101,184.614496,3.4351666,49.257538,9.426766,1440000,0.19355908,62.11947,0.02862639
19,196.8918,196.456928,3.4189167,49.242805,9.427641,1440000,0.1935278,62.089363,0.028490972
20,188.4637,188.082176,3.40575,49.235756,9.427075,1440000,0.19350158,62.06858,0.02838125
21,176.989999,176.575904,3.3879166,49.234756,9.42562,1440000,0.19348164,62.048294,0.02823264
22,180.260501,179.870496,3.3745,49.23946,9.425841,1440000,0.19346333,62.039803,0.028120833
23,189.1453,188.848064,3.3655,49.23716,9.423755,1440000,0.19344693,62.026417,0.028045833
24,186.9116,186.506208,3.3596666,49.237816,9.422883,1440000,0.1934332,62.020363,0.027997222
25,186.018,185.038208,3.3479166,49.25152,9.422313,1440000,0.19342339,62.021748,0.027899306
