# RunType: QualityPreset: LOW
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,12.628,12.302336,0.6380889,2.9030013,9.308805,1440000,0.18644038,13.9795,0.029740278
1,11.5916,11.280384,0.63813335,2.903918,9.308779,1440000,0.18643995,13.979092,0.029736806
2,11.9227,11.599872,0.63804376,2.904736,9.308777,1440000,0.1864394,13.9793215,0.0297375
3,12.6114,12.281856,0.63820416,2.9049459,9.3086815,1440000,0.18643895,13.979417,0.029740278
4,12.0299,11.73504,0.638125,2.9055028,9.308771,1440000,0.18643835,13.979364,0.029741667
5,12.439199,12.01392,0.638316,2.906005,9.30871,1440000,0.18643783,13.979779,0.029740972
6,12.239501,11.91392,0.63833404,2.9066668,9.308668,1440000,0.18643743,13.979603,0.029741667
7,11.7119,11.385728,0.6383708,2.9073799,9.308661,1440000,0.18643679,13.979507,0.02974375
8,12.448999,12.095264,0.63846874,2.9076943,9.30869,1440000,0.18643613,13.979729,0.029743055
9,11.631101,11.370752,0.6385361,2.9083438,9.308593,1440000,0.18643564,13.97958,0.029742362
10,11.936,11.633536,0.6383736,2.9089215,9.308433,1440000,0.18643521,13.979376,0.029740278
11,13.355199,13.011008,0.6385618,2.9095945,9.308515,1440000,0.18643455,13.979858,0.029740278
12,11.811601,11.470752,0.6387326,2.9099598,9.308538,1440000,0.18643385,13.979813,0.029742362
13,12.0146,11.716928,0.63854516,2.9104867,9.30835,1440000,0.1864334,13.979995,0.029738195
14,12.409499,12.068672,0.63852566,2.9113715,9.308257,1440000,0.1864329,13.979792,0.029735416
15,12.4002,12.05648,0.63846457,2.912095,9.308109,1440000,0.18643229,13.980417,0.029730555
16,12.8857,12.390144,0.6384,2.912464,9.308091,1440000,0.18643162,13.981245,0.029728472
17,12.467001,12.162528,0.63825,2.9131298,9.308025,1440000,0.18643111,13.981235,0.029725
18,12.272199,11.977408,0.63849026,2.914059,9.307664,1440000,0.18643066,13.981199,0.029728472
19,14.425601,14.108608,0.63851947,2.9143257,9.307563,1440000,0.18643022,13.980971,0.029730555
20,12.951,12.645504,0.63859373,2.9150605,9.307485,1440000,0.18642941,13.981453,0.029729167
21,12.678399,12.437536,0.63852984,2.9153028,9.307371,1440000,0.18642889,13.981073,0.029725695
22,13.276301,12.988416,0.63855,2.9159744,9.307264,1440000,0.18642832,13.981295,0.029728472
23,12.5496,12.251136,0.63875973,2.9166625,9.30708,1440000,0.1864278,13.981043,0.029727083
24,13.4567,13.164544,0.63891804,2.9172556,9.306921,1440000,0.18642724,13.980952,0.029727083
