# RunType: QualityPreset: MID
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,25.113601,24.808672,1.0381229,5.8191757,9.248312,1440000,0.1877417,16.576757,0.027316667
1,25.6792,25.063552,1.0394,5.81911,9.247978,1440000,0.18774168,16.576645,0.027339583
2,23.922699,23.545536,1.0393354,5.818377,9.248064,1440000,0.18774177,16.575726,0.027335417
3,23.937901,23.552896,1.0396396,5.8184695,9.247922,1440000,0.18774195,16.574312,0.027338888
4,25.1155,24.819712,1.0402076,5.81985,9.247939,1440000,0.1877423,16.575012,0.027340973
5,25.169,24.881408,1.0410521,5.817936,9.247758,1440000,0.18774237,16.573692,0.027352778
6,24.158999,23.862656,1.0411257,5.81754,9.24793,1440000,0.18774228,16.571781,0.027347222
7,23.8357,23.533568,1.0417937,5.8187985,9.248084,1440000,0.18774219,16.572989,0.027348612
8,24.303701,24.016896,1.0418534,5.818125,9.24843,1440000,0.18774232,16.572739,0.027347917
9,24.7667,24.456192,1.0424285,5.8187423,9.248348,1440000,0.1877423,16.572645,0.027352778
10,24.5008,24.179104,1.0430548,5.818343,9.248555,1440000,0.18774217,16.572296,0.027356945
11,23.860999,23.567264,1.0434389,5.8186707,9.248918,1440000,0.18774208,16.571497,0.02735625
12,24.344501,24.054624,1.0436112,5.818617,9.249254,1440000,0.18774208,16.57029,0.027351389
13,23.6759,23.33888,1.0443118,5.8165417,9.2492,1440000,0.18774205,16.568722,0.027361112
14,24.214,23.845664,1.0451354,5.815579,9.249161,1440000,0.18774201,16.56825,0.027364584
15,24.436499,24.14416,1.0455368,5.8141737,9.249582,1440000,0.18774214,16.566315,0.027363194
16,24.910401,24.623072,1.0462868,5.8133693,9.249309,1440000,0.18774226,16.56467,0.027366666
17,24.060699,23.76704,1.0458208,5.8143215,9.249072,1440000,0.18774235,16.564312,0.027364584
18,23.415101,23.109312,1.0461062,5.811287,9.248663,1440000,0.18774222,16.56332,0.027369445
19,23.7533,23.438592,1.0463965,5.8117943,9.248436,1440000,0.18774208,16.562134,0.027375694
20,23.917,23.595072,1.0468264,5.811732,9.247716,1440000,0.18774207,16.560675,0.027383333
21,24.192399,23.867776,1.0470549,5.811439,9.247319,1440000,0.18774247,16.560173,0.027381944
22,24.134301,23.847008,1.0475076,5.8098116,9.247072,1440000,0.18774271,16.55888,0.027383333
23,24.3369,24.029184,1.0479507,5.812083,9.246261,1440000,0.18774277,16.55967,0.02738611
24,23.7111,23.418016,1.0483035,5.8110714,9.246106,1440000,0.1877428,16.558964,0.027389584
25,24.5891,24.305664,1.048593,5.8110285,9.245378,1440000,0.187743,16.55814,0.027395833
26,24.5321,24.245504,1.0488695,5.8114223,9.245261,1440000,0.187743,16.557941,0.027392361
27,25.09,24.786976,1.0493292,5.8102584,9.24506,1440000,0.18774341,16.556679,0.02738889
28,23.8972,23.561088,1.0499674,5.8085103,9.24479,1440000,0.1877433,16.553555,0.027390972
29,23.7314,23.418752,1.0504097,5.811091,9.244487,1440000,0.187743,16.553768,0.027395833
30,25.478999,25.157632,1.0506382,5.8107915,9.244153,1440000,0.18774274,16.5538,0.027399305
31,24.100501,23.799648,1.0507063,5.8106194,9.244096,1440000,0.1877426,16.554264,0.027399305
32,26.3382,26.03024,1.0509305,5.8126965,9.243535,1440000,0.18774247,16.552898,0.027399305
33,24.7016,24.380672,1.0514402,5.813789,9.24329,1440000,0.18774208,16.553698,0.02740625
34,25.6435,25.319872,1.0517437,5.812208,9.243162,1440000,0.18774162,16.552126,0.027403472
35,24.733899,24.414112,1.0519493,5.811929,9.242785,1440000,0.18774092,16.550291,0.027404167
36,24.406101,24.113152,1.0521063,5.812841,9.242437,1440000,0.18774033,16.549475,0.027407639
37,23.308799,22.996192,1.0529923,5.813734,9.242284,1440000,0.18773982,16.548922,0.027413195
38,25.341401,25.042944,1.052966,5.8148026,9.242106,1440000,0.18773936,16.550247,0.027413195
39,24.6733,24.318048,1.0535257,5.8138905,9.241663,1440000,0.18773851,16.549397,0.027417362
40,23.9421,23.580672,1.0533438,5.815118,9.2416725,1440000,0.18773757,16.54926,0.0274125
41,24.9904,24.664064,1.0536493,5.813456,9.241732,1440000,0.18773676,16.546917,0.02741111
42,25.0114,24.754272,1.053766,5.8148417,9.241624,1440000,0.18773597,16.545874,0.027405556
43,24.1022,23.761152,1.0544215,5.8164577,9.241494,1440000,0.1877349,16.546864,0.0274125
44,25.0043,24.647776,1.0546104,5.8166766,9.241657,1440000,0.18773395,16.546387,0.027410416
45,24.1683,23.759456,1.0560299,5.8192883,9.241406,1440000,0.18773264,16.547195,0.027420139
46,24.8631,24.532992,1.0567611,5.8188515,9.241301,1440000,0.18773124,16.545824,0.027427778
47,24.2704,23.957152,1.0573021,5.8182693,9.240812,1440000,0.18773021,16.546177,0.027426388
48,25.7488,25.45664,1.0580938,5.8186145,9.240782,1440000,0.18772924,16.545267,0.027421528
