# RunType: QualityPreset: LOW
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,13.027499,12.734304,0.6396368,3.1835923,9.308462,1440000,0.18865754,13.9795,0.029741667
1,13.496301,13.133824,0.6397736,3.1839786,9.308559,1440000,0.1886578,13.979092,0.029743055
2,13.119,12.695552,0.6397618,3.1853771,9.30854,1440000,0.1886582,13.9793215,0.029740972
3,14.4171,14.06688,0.63976806,3.1865575,9.308322,1440000,0.18865843,13.979417,0.029734029
4,12.6294,12.342208,0.6396639,3.1875694,9.308172,1440000,0.18865868,13.979364,0.029731944
5,12.9082,12.597216,0.6396431,3.1883326,9.3081045,1440000,0.18865891,13.979779,0.029728472
6,13.3527,13.041088,0.6396236,3.1888583,9.308111,1440000,0.18865903,13.979603,0.02972361
7,12.5188,12.230656,0.63984376,3.1900368,9.307808,1440000,0.18865904,13.979507,0.029727777
8,13.8651,13.555488,0.64007014,3.1911006,9.307568,1440000,0.18865901,13.979729,0.029731944
9,13.8294,13.524896,0.6400979,3.1924047,9.307552,1440000,0.18865901,13.97958,0.029730555
10,14.602699,14.305728,0.6401111,3.1930583,9.307374,1440000,0.18865901,13.979376,0.029727083
11,12.963801,12.614016,0.64015067,3.1945305,9.307244,1440000,0.18865912,13.979858,0.029728472
12,13.201,12.863488,0.64030206,3.1953368,9.307012,1440000,0.18865915,13.979813,0.029727083
13,13.6375,13.349184,0.64042294,3.1961257,9.306912,1440000,0.18865912,13.979995,0.029727083
14,13.2026,12.89216,0.6404472,3.1971812,9.306771,1440000,0.18865904,13.979792,0.02972639
15,13.059499,12.765792,0.64051664,3.1986077,9.306553,1440000,0.18865894,13.980417,0.029722916
16,13.200601,12.914688,0.6406118,3.199466,9.306431,1440000,0.1886588,13.981245,0.029720139
17,12.3109,12.025856,0.6407174,3.2003202,9.30634,1440000,0.18865862,13.981235,0.029721528
18,14.1111,13.681184,0.6407951,3.2013896,9.306113,1440000,0.18865848,13.981199,0.02972361
19,14.086299,13.758816,0.6408382,3.202782,9.306066,1440000,0.1886582,13.980971,0.02972361
