# RunType: QualityPreset: MID
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,24.6409,24.31408,1.0331854,5.36604,9.250264,1440000,0.18825367,16.576757,0.027265972
1,24.4329,24.131584,1.0336764,5.36644,9.250144,1440000,0.18825386,16.576645,0.027271528
2,25.280299,24.955776,1.0342597,5.3684654,9.24963,1440000,0.1882544,16.575726,0.027277777
3,25.252701,24.920064,1.0354104,5.3702126,9.249245,1440000,0.1882548,16.574312,0.027291667
4,24.9498,24.649728,1.036293,5.372599,9.24888,1440000,0.18825507,16.575012,0.027303472
5,25.0141,24.7264,1.0367396,5.3743443,9.248866,1440000,0.18825546,16.573692,0.027302777
6,25.731399,25.427968,1.0374583,5.374749,9.248294,1440000,0.18825595,16.571781,0.02731875
7,26.624801,26.312832,1.038782,5.3759665,9.247907,1440000,0.18825656,16.572989,0.027340278
8,25.647899,25.29392,1.0386181,5.3760304,9.247952,1440000,0.18825679,16.572739,0.027334722
9,25.569201,25.22112,1.0390021,5.377196,9.247893,1440000,0.18825701,16.572645,0.027339583
10,24.7087,24.413056,1.0395681,5.3791027,9.247785,1440000,0.18825701,16.572296,0.027344445
11,27.2185,26.916896,1.0404785,5.379017,9.247892,1440000,0.18825707,16.571497,0.027353473
12,25.5147,25.2416,1.0408459,5.380649,9.248003,1440000,0.18825684,16.57029,0.027346527
13,25.5172,25.157632,1.0414631,5.3814297,9.248072,1440000,0.18825728,16.568722,0.027352083
14,24.9141,24.621056,1.0414222,5.3821874,9.248528,1440000,0.18825752,16.56825,0.02734375
15,25.7899,25.500096,1.0419805,5.3835297,9.248548,1440000,0.18825722,16.566315,0.027351389
16,25.2627,24.888992,1.0425895,5.3850937,9.249059,1440000,0.18825673,16.56467,0.02735
17,25.1764,24.846336,1.0434805,5.38505,9.249103,1440000,0.18825673,16.564312,0.027351389
18,26.140099,25.802528,1.0440264,5.385623,9.249041,1440000,0.1882565,16.56332,0.027358333
19,25.3923,25.0368,1.0445688,5.385409,9.249164,1440000,0.1882561,16.562134,0.02736875
20,25.58,25.23472,1.0442237,5.3856897,9.249721,1440000,0.18825583,16.560675,0.027359027
21,26.0193,25.643008,1.0442437,5.3867054,9.24939,1440000,0.1882554,16.560173,0.027365278
22,24.7374,24.356096,1.0447202,5.3881435,9.24913,1440000,0.1882548,16.55888,0.02736736
23,24.489401,24.179968,1.0449556,5.3877764,9.24869,1440000,0.18825428,16.55967,0.027368056
24,26.9033,26.60592,1.0455084,5.388941,9.248491,1440000,0.18825406,16.558964,0.027373612
25,25.357699,25.054464,1.045925,5.3892407,9.247692,1440000,0.1882535,16.55814,0.027384028
