# RunType: QualityPreset: ULTRA
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,173.8293,173.486048,2.6912181,38.857178,9.394675,1440000,0.18771309,61.913605,0.029840972
1,173.3343,172.935296,2.6866105,38.812187,9.394512,1440000,0.18768969,61.96997,0.029838888
2,175.2354,174.761824,2.6807556,38.737415,9.396497,1440000,0.1876624,62.014977,0.029847221
3,172.5339,172.219008,2.6772487,38.67083,9.397916,1440000,0.18763117,62.044865,0.029853472
4,168.484599,168.179712,2.6763437,38.586304,9.396486,1440000,0.18759786,62.07022,0.029894445
5,190.3003,189.9584,2.6743903,38.516014,9.39311,1440000,0.18756314,62.08893,0.029917361
6,168.866601,168.513536,2.6685598,38.43754,9.393402,1440000,0.18752523,62.102524,0.029911112
7,168.9874,168.63456,2.6643682,38.34631,9.396712,1440000,0.18749128,62.11714,0.029907638
8,178.2367,177.868544,2.655745,38.267223,9.397643,1440000,0.18745662,62.11414,0.029872917
9,176.558399,176.230976,2.6486256,38.197956,9.400856,1440000,0.18741907,62.10759,0.029841667
10,175.505701,175.186656,2.6370938,38.136177,9.400534,1440000,0.1873825,62.108067,0.029775
11,161.1271,160.826176,2.626727,38.080757,9.399746,1440000,0.18734863,62.101913,0.029710416
12,169.659,169.356896,2.6114798,38.024258,9.400605,1440000,0.1873215,62.09227,0.029610416
13,167.7128,167.380608,2.5943778,37.96714,9.403998,1440000,0.18729506,62.095684,0.02949375
14,185.4243,185.12064,2.573941,37.908245,9.405101,1440000,0.18727186,62.112038,0.029345138
15,168.8526,168.48816,2.5579522,37.846886,9.407304,1440000,0.18725061,62.114864,0.029234027
16,170.5659,170.254336,2.5399354,37.798557,9.4105425,1440000,0.18723299,62.126644,0.029115278
17,184.0245,183.72576,2.5303667,37.757133,9.414631,1440000,0.18721744,62.123734,0.029055556
18,174.071,173.781024,2.5203042,37.705444,9.417923,1440000,0.18720095,62.11947,0.028993055
19,174.3168,174.01648,2.5041564,37.66818,9.4199,1440000,0.18718559,62.089363,0.028888889
20,175.9829,175.671296,2.4902291,37.61078,9.421522,1440000,0.18716846,62.06858,0.028803471
21,171.4572,171.134976,2.471302,37.561615,9.425001,1440000,0.18715079,62.048294,0.028672917
22,166.038,165.632096,2.451852,37.50962,9.427673,1440000,0.18713488,62.039803,0.028534029
23,171.3852,171.045152,2.4386632,37.451588,9.426192,1440000,0.1871223,62.026417,0.028438194
24,158.7098,158.401984,2.4230542,37.418564,9.426372,1440000,0.18711178,62.020363,0.028313888
25,170.7626,170.440672,2.4091187,37.392094,9.425763,1440000,0.18710311,62.021748,0.028205555
26,176.829899,176.497728,2.3956985,37.3703,9.425936,1440000,0.18709376,62.034058,0.028098611
27,172.5952,172.274336,2.3886485,37.34729,9.423659,1440000,0.18708532,62.03811,0.028045138
28,167.942401,167.573888,2.378566,37.338463,9.423421,1440000,0.18707792,62.06146,0.027972221
29,172.856099,172.57104,2.3689702,37.327263,9.422077,1440000,0.18707213,62.07305,0.027899306
30,189.773101,189.396736,2.358859,37.33036,9.419535,1440000,0.1870663,62.089954,0.027822917
