frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,sph,hit_ratio
0,61.2015,60.678464,49.99978,224.77339,120.69897,2073600,0.35402763,38.149635,395.47214,0.09646605
1,59.5446,59.007936,49.99946,224.77574,120.70564,2073600,0.35402793,38.14914,395.48083,0.096462674
2,60.8055,60.44464,49.999294,224.79938,120.72284,2073600,0.35402825,38.148483,395.5215,0.096451096
3,63.1183,62.7792,49.999485,224.79504,120.72638,2073600,0.35402852,38.147854,395.5209,0.09644965
4,61.0976,60.617536,49.999294,224.79497,120.73163,2073600,0.35402885,38.14738,395.52588,0.096447244
5,59.7392,59.251776,49.99964,224.79936,120.73866,2073600,0.35402918,38.14661,395.53766,0.09644242
6,60.658,60.14976,49.99976,224.79768,120.74253,2073600,0.3540295,38.146065,395.53998,0.09644049
7,61.2067,60.647776,49.999935,224.80452,120.75353,2073600,0.35402983,38.144947,395.55798,0.09643326
8,60.9957,60.510272,49.999325,224.82405,120.766106,2073600,0.35403013,38.144737,395.58948,0.09642506
9,60.4115,59.963136,49.99928,224.82596,120.7738,2073600,0.35403046,38.143753,395.59903,0.096420236
10,61.7029,61.3272,49.9996,224.83275,120.77861,2073600,0.35403076,38.143566,395.61096,0.09641686
11,61.0996,60.601184,49.99941,224.8283,120.7765,2073600,0.3540311,38.143486,395.6042,0.096418306
12,63.3751,62.974368,49.999325,224.8364,120.782684,2073600,0.3540314,38.142952,395.6184,0.096413486
13,60.4374,60.020192,49.99966,224.84915,120.79026,2073600,0.35403177,38.14284,395.63907,0.09640818
14,61.1408,60.716544,49.999844,224.8584,120.799,2073600,0.35403207,38.142117,395.65726,0.09640191
15,60.7864,60.33808,49.99947,224.87927,120.81315,2073600,0.35403237,38.14183,395.6919,0.09639274
16,60.808,60.454016,49.999504,224.89755,120.82522,2073600,0.35403267,38.141705,395.7223,0.09638503
17,62.3501,61.99552,49.99966,224.898,120.83112,2073600,0.35403302,38.140995,395.72876,0.09638166
18,61.6167,61.261824,49.999508,224.89796,120.8369,2073600,0.35403332,38.14058,395.73438,0.09637924
19,60.9934,60.633088,49.999588,224.92194,120.85581,2073600,0.35403365,38.13995,395.7773,0.09636719
20,60.1409,59.766784,49.999855,224.93546,120.86516,2073600,0.35403395,38.139507,395.80048,0.09636044
21,62.6584,62.226432,49.99962,224.94556,120.87552,2073600,0.35403425,38.138783,395.8207,0.09635369
22,61.9629,61.620224,49.999596,224.9535,120.8883,2073600,0.35403457,38.137913,395.8414,0.09634645
23,61.8395,61.478912,49.999454,224.96738,120.904945,2073600,0.3540349,38.137024,395.87177,0.096336804
