frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,sph,hit_ratio
0,18.4742,17.044544,29.993511,121.03947,106.66414,1440000,0.3830625,28.572704,257.6971,0.11087708
1,17.8588,16.704512,29.993612,121.033,106.66392,1440000,0.3830623,28.572153,257.69052,0.110877775
2,18.4637,17.08432,29.99378,121.03045,106.66484,1440000,0.383062,28.571812,257.6891,0.11087708
3,19.6478,17.987584,29.993023,121.023766,106.66265,1440000,0.38306177,28.57146,257.67944,0.11087986
4,18.6655,17.524736,29.992496,121.020935,106.66141,1440000,0.3830614,28.571308,257.67484,0.11088125
5,18.7711,17.422464,29.99249,121.018105,106.663055,1440000,0.3830612,28.57082,257.67365,0.11087986
6,18.4134,17.035744,29.992735,121.0156,106.66453,1440000,0.3830609,28.570374,257.67285,0.110878475
7,17.7937,17.010688,29.993267,121.01509,106.666756,1440000,0.38306063,28.570087,257.6751,0.11087639
8,19.5277,17.541216,29.992935,121.009636,106.66498,1440000,0.38306034,28.569786,257.66754,0.110878475
9,17.6403,16.732192,29.992836,121.00512,106.66395,1440000,0.38306007,28.569515,257.6619,0.11087986
10,17.6123,16.809984,29.992935,121.00118,106.66415,1440000,0.38305983,28.56911,257.65826,0.11087986
11,18.1852,17.061888,29.993193,121.00021,106.66506,1440000,0.3830596,28.568956,257.65848,0.11087917
12,18.4352,17.108896,29.99378,120.99997,106.66727,1440000,0.3830593,28.568703,257.661,0.11087708
13,18.4479,17.272832,29.99293,120.99326,106.66396,1440000,0.38305902,28.568392,257.65015,0.11088055
14,18.0378,17.338144,29.99316,120.99033,106.66483,1440000,0.38305876,28.568012,257.64832,0.11087986
15,17.7815,17.099808,29.993042,120.98552,106.66435,1440000,0.3830585,28.567589,257.6429,0.11088055
16,18.8637,17.818272,29.993456,120.98265,106.66586,1440000,0.38305825,28.567127,257.64197,0.11087917
17,17.7457,16.940864,29.993912,120.98064,106.66743,1440000,0.38305798,28.566769,257.64197,0.110877775
18,17.7694,17.178816,29.993355,120.97523,106.6658,1440000,0.38305774,28.566465,257.6344,0.11087986
19,17.289,16.721536,29.993368,120.972275,106.66602,1440000,0.38305742,28.566164,257.63165,0.11087986
20,17.2417,16.6784,29.99313,120.96542,106.66519,1440000,0.38305718,28.565641,257.62375,0.11088125
21,18.4124,17.698752,29.992609,120.95963,106.66267,1440000,0.38305697,28.56538,257.6149,0.110884026
22,18.8021,18.114752,29.993223,120.956696,106.664154,1440000,0.38305667,28.564926,257.61407,0.11088264
23,17.8374,17.236352,29.99353,120.951805,106.66445,1440000,0.38305634,28.564453,257.6098,0.11088264
24,17.8412,17.274656,29.993462,120.94762,106.66426,1440000,0.3830561,28.564137,257.60535,0.11088333
25,18.5143,17.46848,29.99331,120.94439,106.66387,1440000,0.38305584,28.5639,257.60156,0.110884026
26,17.7123,17.093216,29.992924,120.9394,106.66333,1440000,0.38305554,28.563421,257.59564,0.11088472
27,17.9748,17.39776,29.992115,120.933846,106.6618,1440000,0.3830553,28.563084,257.58777,0.110886805
28,17.4902,16.92096,29.991745,120.92985,106.66153,1440000,0.38305506,28.562748,257.58313,0.1108875
29,17.3954,16.8448,29.991377,120.9263,106.66037,1440000,0.38305476,28.562544,257.57806,0.11088889
30,17.195,16.623616,29.992365,120.92648,106.66414,1440000,0.38305452,28.562197,257.583,0.11088542
31,17.8937,17.250304,29.99256,120.92375,106.66451,1440000,0.3830543,28.561958,257.5808,0.11088542
