# RunType: QualityPreset: HIGH
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,185.989301,185.690112,10.767278,88.240555,11.750822,1440000,0.4164359,112.21221,0.13459097
1,189.1913,188.844032,10.789389,88.39475,11.7408695,1440000,0.41642722,112.45597,0.13486736
2,188.0753,187.77328,10.808945,88.52558,11.73372,1440000,0.41641814,112.68746,0.13511181
3,194.158299,193.866912,10.822333,88.67284,11.735464,1440000,0.41641358,112.89448,0.13527916
4,199.215601,198.908192,10.829,88.83133,11.730229,1440000,0.41641656,113.07835,0.1353625
5,191.1469,190.80192,10.818277,88.983864,11.731078,1440000,0.41641784,113.238594,0.13522847
6,186.968499,186.636288,10.776834,89.106224,11.735599,1440000,0.4164175,113.37051,0.13471042
7,185.9387,185.574784,10.734555,89.20805,11.7368,1440000,0.41641548,113.51295,0.13418195
8,196.0946,195.79904,10.704223,89.30713,11.742081,1440000,0.41641542,113.64721,0.13380277
9,218.079501,217.792032,10.695945,89.38737,11.741317,1440000,0.41641083,113.781296,0.13369931
10,184.1435,183.840992,10.696834,89.46996,11.73982,1440000,0.4164004,113.86342,0.13371041
11,188.438499,188.12768,10.670611,89.569855,11.749419,1440000,0.4163938,113.904526,0.13338263
12,188.275501,187.990048,10.651334,89.666435,11.761855,1440000,0.41638651,113.956665,0.13314167
13,193.8043,193.509696,10.643611,89.75948,11.7710085,1440000,0.41637674,113.99823,0.13304514
14,196.1584,195.934496,10.651722,89.84486,11.779591,1440000,0.41637242,114.059654,0.13314652
15,215.516599,215.195872,10.639833,89.90047,11.78097,1440000,0.41637385,114.1254,0.13299792
16,188.1287,187.830016,10.6305,89.937775,11.781625,1440000,0.41638115,114.17843,0.13288125
17,189.955601,189.616128,10.624278,89.98291,11.783469,1440000,0.4163878,114.25497,0.13280347
18,201.568599,201.201664,10.617222,90.046585,11.783867,1440000,0.41639075,114.33997,0.13271528
19,193.076501,192.736672,10.601611,90.09134,11.783046,1440000,0.41639355,114.4318,0.13252014
20,198.3247,198.004736,10.5749445,90.134995,11.778468,1440000,0.41639096,114.4834,0.1321868
21,196.4852,196.091904,10.548166,90.168945,11.771717,1440000,0.4163964,114.501274,0.13185209
