# RunType: QualityPreset: MID
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,54.5508,54.221632,6.764167,26.871529,11.784813,1440000,0.41930103,46.846066,0.13528334
1,54.9453,54.6056,6.760139,26.867544,11.782967,1440000,0.41928226,46.83639,0.13520278
2,53.012999,52.695424,6.7560544,26.863722,11.78168,1440000,0.41926512,46.826702,0.13512152
3,53.2662,52.933024,6.751736,26.853655,11.78073,1440000,0.41925037,46.8086,0.13503473
4,54.406101,54.120448,6.749618,26.841194,11.778761,1440000,0.41923726,46.79457,0.13499236
5,53.0898,52.783008,6.7463202,26.831352,11.776414,1440000,0.4192255,46.781914,0.13492708
6,54.4375,54.140928,6.7424655,26.817778,11.7751875,1440000,0.41921586,46.763996,0.13484931
7,53.895799,53.606656,6.7411113,26.805176,11.77281,1440000,0.41920725,46.74746,0.13482222
8,53.2496,52.912864,6.7364583,26.786228,11.769039,1440000,0.41919792,46.723404,0.13472916
9,53.532301,53.236704,6.735764,26.770884,11.765069,1440000,0.41918847,46.700954,0.13471527
10,54.252799,53.916224,6.7324653,26.751295,11.76208,1440000,0.4191807,46.678368,0.1346493
11,53.1119,52.779616,6.7280874,26.730108,11.759484,1440000,0.4191729,46.648117,0.1345625
12,52.8238,52.538912,6.723125,26.707838,11.757669,1440000,0.41916546,46.619095,0.1344625
13,55.280501,54.960928,6.7165575,26.682178,11.755998,1440000,0.41915745,46.58019,0.13433126
14,52.6174,52.273152,6.7127123,26.654976,11.7542,1440000,0.41914934,46.541607,0.13425486
15,53.582199,53.284864,6.704905,26.622292,11.753575,1440000,0.41914088,46.501022,0.1340986
16,51.662601,51.367936,6.6997914,26.585373,11.750953,1440000,0.4191311,46.461327,0.13399583
17,52.267099,51.931808,6.6945834,26.549948,11.749693,1440000,0.4191192,46.417866,0.13389167
18,53.127401,52.772864,6.6912026,26.519289,11.747739,1440000,0.4191061,46.382668,0.1338243
19,52.899799,52.606432,6.6881394,26.490084,11.748032,1440000,0.41909122,46.349613,0.1337632
20,51.7827,51.44752,6.683403,26.46385,11.751057,1440000,0.41907555,46.319473,0.13366805
21,52.206201,51.906048,6.678252,26.436794,11.755443,1440000,0.41906118,46.287704,0.13356528
22,54.0689,53.7288,6.6730905,26.413822,11.76007,1440000,0.4190468,46.26095,0.1334618
23,51.8299,51.501056,6.667465,26.390577,11.766635,1440000,0.4190322,46.235447,0.1333493
24,55.6522,55.315136,6.6619287,26.370764,11.771559,1440000,0.41901505,46.214016,0.13323888
25,53.5119,53.108736,6.655104,26.351294,11.77405,1440000,0.41899678,46.1938,0.13310209
26,53.8629,53.41344,6.6493487,26.334602,11.775188,1440000,0.41898015,46.16893,0.1329875
27,52.4826,52.109312,6.6431947,26.321697,11.777631,1440000,0.41896483,46.145515,0.13286458
28,51.991799,51.660864,6.636389,26.309662,11.780472,1440000,0.4189499,46.12776,0.13272777
29,53.125601,52.80768,6.6301737,26.298761,11.78089,1440000,0.41893518,46.113754,0.13260347
30,51.3221,51.043936,6.626085,26.293064,11.779785,1440000,0.41892076,46.098198,0.13252223
