# RunType: QualityPreset: ULTRA
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,628.4141,628.09744,18.476583,252.85986,11.822439,1440000,0.41481692,226.56331,0.15397152
1,647.9719,647.413568,18.261917,251.17383,11.846711,1440000,0.4147283,228.7759,0.15218264
2,670.3553,670.069792,18.007084,250.69107,11.876025,1440000,0.41463792,231.32039,0.15005903
3,627.0657,626.702336,17.929333,250.28088,11.870096,1440000,0.4146096,233.80388,0.14941111
4,651.7665,651.362464,17.908583,250.15355,11.837226,1440000,0.4145609,235.94446,0.1492382
5,632.9508,632.60352,17.922583,250.06807,11.812303,1440000,0.41448346,238.15724,0.14935486
6,617.4922,617.083392,17.95,249.64964,11.794306,1440000,0.41431478,239.95845,0.14958334
7,626.9864,626.65584,17.994,249.07089,11.754094,1440000,0.414144,241.41312,0.14995
8,631.92,631.557856,18.050833,248.07791,11.718814,1440000,0.41397852,241.8136,0.15042362
9,731.1349,730.749152,18.09475,247.29749,11.724037,1440000,0.41380805,241.65576,0.15078959
10,631.5205,631.12192,18.071917,246.90936,11.720673,1440000,0.41362727,240.53021,0.1505993
11,647.2716,646.918496,18.058,246.91017,11.7277975,1440000,0.41343734,239.26866,0.15048334
12,628.5067,628.216672,18.123833,246.88884,11.732375,1440000,0.41328606,237.29938,0.15103194
13,622.4111,622.114176,18.279083,246.92456,11.729503,1440000,0.41327143,234.54277,0.15232569
14,644.5202,644.166976,18.34275,247.31467,11.735596,1440000,0.41338512,232.19275,0.15285625
15,638.8602,638.519296,18.323166,247.94843,11.74553,1440000,0.41350743,230.79558,0.15269305
16,612.3067,611.994528,18.234917,249.22021,11.723346,1440000,0.41350114,230.40532,0.15195765
17,695.9119,695.548032,18.20125,249.4586,11.72478,1440000,0.41337344,230.58908,0.15167709
18,740.2837,739.956736,18.150583,248.63887,11.7590475,1440000,0.41322687,230.48605,0.15125486
19,616.6052,616.308736,18.079416,247.68658,11.776344,1440000,0.41315654,230.68518,0.15066181
20,758.4907,758.18816,17.795584,246.68216,11.783171,1440000,0.41319415,230.86678,0.14829654
21,662.7737,662.382592,17.700167,247.51627,11.756869,1440000,0.41332868,230.90756,0.1475014
22,632.8592,632.521888,17.672333,250.3767,11.698234,1440000,0.41347224,230.93102,0.14726944
23,680.1931,679.876608,17.599583,252.69345,11.680056,1440000,0.4136549,231.06552,0.14666319
24,753.7158,753.387968,17.490168,254.61824,11.683258,1440000,0.4138811,231.19102,0.14575139
25,652.9056,652.517344,17.43275,256.02832,11.68337,1440000,0.41418484,231.54126,0.14527291
26,665.0599,664.62912,17.4175,257.20282,11.666683,1440000,0.4145212,231.84633,0.14514583
