# RunType: QualityPreset: LOW
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,20.7239,20.244288,4.4133544,18.001019,11.899233,1440000,0.45251507,34.313606,0.14712986
1,21.9568,21.424128,4.413919,17.995844,11.900407,1440000,0.45251888,34.31017,0.14714652
2,20.9556,20.452992,4.414309,17.990604,11.902056,1440000,0.45252264,34.30697,0.14716111
3,21.6401,21.172352,4.4145813,17.984205,11.903179,1440000,0.45252597,34.301964,0.14716876
4,21.5605,21.07632,4.415056,17.977541,11.904646,1440000,0.45252922,34.29724,0.14718264
5,21.3973,20.892512,4.4154367,17.971226,11.906368,1440000,0.45253196,34.29303,0.14720277
6,23.1499,22.581536,4.415872,17.965263,11.908153,1440000,0.45253444,34.289288,0.1472125
7,24.096,23.544128,4.4165206,17.959509,11.909935,1440000,0.45253664,34.285965,0.14723681
8,21.484999,20.652032,4.416721,17.952679,11.9117365,1440000,0.45253843,34.281136,0.14724237
9,21.416101,20.888096,4.417157,17.947775,11.913389,1440000,0.4525398,34.27832,0.14725903
10,22.2229,21.491712,4.4176083,17.943174,11.915369,1440000,0.4525409,34.276154,0.14726876
11,20.8774,20.307968,4.4179916,17.936556,11.917298,1440000,0.45254153,34.271847,0.14728333
12,20.5932,20.152608,4.418923,17.931189,11.9196205,1440000,0.45254284,34.26973,0.14731666
13,20.442899,20.062208,4.419259,17.925385,11.921005,1440000,0.45254362,34.265648,0.1473264
14,21.027001,20.591776,4.419423,17.919222,11.923037,1440000,0.45254347,34.26168,0.14732987
15,21.1225,20.690912,4.419541,17.912664,11.925108,1440000,0.45254374,34.257313,0.14733334
16,20.518799,20.129088,4.4200463,17.905579,11.927158,1440000,0.45254362,34.252785,0.14735
17,20.937901,20.560832,4.4203486,17.89886,11.928853,1440000,0.45254344,34.248062,0.1473632
18,20.3177,19.914752,4.4211445,17.892422,11.931106,1440000,0.4525434,34.24467,0.14739028
19,20.451399,20.068768,4.4216356,17.884123,11.9343,1440000,0.4525432,34.24006,0.14740695
20,20.359801,19.98448,4.421965,17.87745,11.936192,1440000,0.45254353,34.235607,0.14741875
21,20.4555,20.060384,4.422166,17.872242,11.937647,1440000,0.45254365,34.232056,0.14742778
22,20.7179,20.3264,4.422532,17.867058,11.93863,1440000,0.45254412,34.228218,0.1474382
23,21.0656,20.705472,4.423027,17.859919,11.9393,1440000,0.45254415,34.222244,0.14745417
24,20.324899,19.974592,4.423695,17.852531,11.939728,1440000,0.45254424,34.215954,0.14747083
25,20.339301,19.898144,4.424083,17.84654,11.9404545,1440000,0.45254448,34.21108,0.14748889
26,20.9009,20.508672,4.424404,17.841036,11.940811,1440000,0.45254457,34.206253,0.14749792
27,21.8168,21.405696,4.424391,17.83558,11.941253,1440000,0.45254472,34.201225,0.14749792
28,22.756399,22.360992,4.424762,17.830435,11.941782,1440000,0.45254454,34.196976,0.14750902
29,20.9302,20.482016,4.4255586,17.824694,11.941839,1440000,0.4525447,34.192093,0.14753611
30,20.297801,19.78368,4.426091,17.818056,11.941589,1440000,0.45254418,34.185738,0.14755556
31,20.8248,20.44768,4.426434,17.811285,11.941383,1440000,0.45254388,34.1791,0.14756945
32,20.412799,20.002816,4.4266105,17.80516,11.941908,1440000,0.45254338,34.17368,0.14757083
33,20.4881,20.137632,4.4270716,17.799265,11.9419565,1440000,0.45254278,34.168293,0.14758681
34,20.249701,19.7832,4.4276853,17.793966,11.942102,1440000,0.45254168,34.163754,0.14760417
35,20.2788,19.894272,4.4281874,17.788517,11.94184,1440000,0.45254093,34.158546,0.1476257
36,20.3259,19.929568,4.428385,17.782158,11.941561,1440000,0.4525398,34.152103,0.14763194
37,20.223299,19.87056,4.4289894,17.77576,11.941432,1440000,0.45253858,34.146183,0.14764862
38,20.0278,19.685376,4.4291887,17.768412,11.941792,1440000,0.45253748,34.139393,0.14765903
39,21.107101,20.762272,4.4291577,17.761856,11.941679,1440000,0.45253617,34.13269,0.14766042
40,20.3782,20.008992,4.430033,17.756102,11.941109,1440000,0.45253468,34.127243,0.14768264
41,20.5331,20.179872,4.430658,17.749685,11.940686,1440000,0.45253316,34.12103,0.14770694
42,20.6726,20.28848,4.43059,17.743826,11.940096,1440000,0.45253167,34.11451,0.14770555
43,20.7117,20.286336,4.4309335,17.738508,11.94003,1440000,0.45253003,34.10947,0.14771944
44,21.734499,21.388896,4.43146,17.732845,11.940124,1440000,0.45252818,34.104427,0.14773124
45,20.703201,20.303872,4.431825,17.72771,11.939697,1440000,0.45252645,34.099236,0.1477486
46,20.3976,19.975424,4.43263,17.720753,11.939394,1440000,0.45252442,34.092777,0.14777014
47,20.4289,20.038016,4.432991,17.71518,11.93895,1440000,0.45252234,34.08712,0.14778611
48,20.6369,20.230144,4.433113,17.70872,11.938858,1440000,0.4525203,34.08069,0.14779167
49,20.6201,20.150528,4.433534,17.703478,11.938498,1440000,0.45251763,34.07551,0.14780347
50,20.5582,20.210784,4.4336658,17.69857,11.938474,1440000,0.45251465,34.07071,0.14780208
51,20.3502,20.014304,4.434532,17.694529,11.937911,1440000,0.45251215,34.06697,0.14783403
52,21.2721,20.885504,4.4349265,17.689316,11.937719,1440000,0.45250928,34.061962,0.14785069
53,20.5234,20.232928,4.4352803,17.684685,11.937747,1440000,0.4525064,34.057713,0.14786042
