# RunType: QualityPreset: HIGH
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,181.7047,181.371232,7.9643745,82.85302,11.747764,1440000,0.4228836,112.21221,0.1346625
1,178.529199,178.241536,7.9856486,82.78989,11.73685,1440000,0.4229328,112.45597,0.13496874
2,176.092401,175.787296,8.000428,82.70479,11.733078,1440000,0.42298466,112.68746,0.13519514
3,181.158099,180.826112,8.004045,82.62545,11.733709,1440000,0.42303747,112.89448,0.13530834
4,177.712401,177.38496,8.002289,82.56459,11.729944,1440000,0.42308658,113.07835,0.13535972
5,177.472899,177.143968,7.9859486,82.471306,11.730492,1440000,0.42313176,113.238594,0.13522084
6,195.901301,195.608576,7.940875,82.37765,11.735972,1440000,0.42317566,113.37051,0.13473195
7,182.1831,181.874464,7.8940196,82.28097,11.736789,1440000,0.42322722,113.51295,0.1342257
8,174.5127,174.1304,7.8512836,82.178566,11.741333,1440000,0.42327535,113.64721,0.13384375
9,179.7639,179.377696,7.8267603,82.06976,11.741305,1440000,0.4233183,113.781296,0.13369305
10,173.8189,173.391872,7.8158083,81.98602,11.7393055,1440000,0.4233584,113.86342,0.13370278
11,176.133999,175.843328,7.7899528,81.87614,11.743514,1440000,0.4233865,113.904526,0.13354027
12,178.303401,178.0128,7.752718,81.79153,11.755883,1440000,0.4234134,113.956665,0.13326667
13,185.0404,184.740128,7.713476,81.705,11.767817,1440000,0.42344028,113.99823,0.13306111
14,181.148099,180.811584,7.6928687,81.61651,11.772933,1440000,0.42346674,114.059654,0.13310277
15,176.2458,175.902048,7.6661773,81.5026,11.781679,1440000,0.4234943,114.1254,0.13308959
16,179.399701,179.11808,7.634515,81.36889,11.778992,1440000,0.42351845,114.17843,0.13297084
17,216.668399,216.327168,7.6076813,81.24167,11.783298,1440000,0.42354178,114.25497,0.13286667
18,177.962901,177.644832,7.590819,81.12969,11.783911,1440000,0.4235672,114.33997,0.13279514
19,202.050699,201.73648,7.584073,81.02807,11.784464,1440000,0.42359006,114.4318,0.13270347
20,172.894801,172.593792,7.5643706,80.94331,11.781649,1440000,0.4236138,114.4834,0.13249445
21,183.6258,183.262144,7.533852,80.8893,11.778246,1440000,0.42363474,114.501274,0.1321375
22,175.9737,175.592736,7.5117536,80.83202,11.771906,1440000,0.42365316,114.51505,0.13184445
23,178.077699,177.779232,7.4912515,80.834694,11.7648945,1440000,0.4236717,114.539925,0.13162708
24,180.888001,180.601632,7.47521,80.8351,11.761541,1440000,0.42369568,114.57832,0.13146527
25,172.3444,172.050432,7.453178,80.84343,11.76265,1440000,0.42372417,114.59791,0.13122848
26,186.2701,185.960256,7.429863,80.871086,11.769231,1440000,0.42374924,114.61159,0.13099028
27,166.8254,166.46896,7.408385,80.89014,11.776661,1440000,0.4237838,114.61183,0.13077639
28,205.877,205.480896,7.382418,80.908264,11.7875805,1440000,0.42381695,114.63985,0.13048959
29,201.7506,201.319616,7.372832,80.930466,11.793749,1440000,0.4238574,114.70412,0.1303993
30,193.133399,182.401024,7.3723702,80.93177,11.804258,1440000,0.42389694,114.75556,0.1304514
