# RunType: QualityPreset: ULTRA
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,573.755,573.334816,12.37072,232.16571,11.875672,1440000,0.42632195,226.56331,0.14849028
1,604.1825,603.826176,12.442239,233.74728,11.892997,1440000,0.42619407,228.7759,0.14879723
2,599.3013,598.839296,12.567847,234.57106,11.885762,1440000,0.42603394,231.32039,0.1492875
3,576.6197,575.938784,12.862236,234.42775,11.878154,1440000,0.42578375,233.80388,0.15072222
4,593.2489,592.963584,13.110222,232.91338,11.892268,1440000,0.42571864,235.94446,0.15201597
5,583.4424,583.153664,13.40782,230.99689,11.858886,1440000,0.4258018,238.15724,0.15375347
6,565.326,564.977312,13.653587,228.14546,11.833761,1440000,0.42592078,239.95845,0.15473333
7,572.7499,572.374208,13.658728,225.22136,11.822479,1440000,0.42608568,241.41312,0.1542382
8,562.8491,562.477024,13.530598,223.33998,11.844672,1440000,0.4262082,241.8136,0.1527375
9,548.9457,548.66736,13.360428,222.6614,11.8743305,1440000,0.42632768,241.65576,0.15084791
10,569.4656,569.167872,13.234269,222.78885,11.8788805,1440000,0.42643747,240.53021,0.14947014
11,555.4626,555.159552,13.232629,223.02664,11.860875,1440000,0.42646894,239.26866,0.14932847
12,540.5413,540.228448,13.226057,223.7154,11.833086,1440000,0.4264828,237.29938,0.1492257
13,557.3233,557.022816,13.239021,224.30913,11.810815,1440000,0.42651582,234.54277,0.14935347
14,542.5897,542.293952,13.234596,224.44814,11.794899,1440000,0.42655915,232.19275,0.149575
15,605.685,605.304576,13.224011,224.68596,11.7683115,1440000,0.4267202,230.79558,0.14974792
16,547.1612,546.86352,13.259036,224.6754,11.72567,1440000,0.42698598,230.40532,0.15030694
17,556.3052,556.023072,13.244111,224.89014,11.728554,1440000,0.42719603,230.58908,0.15062083
18,551.6786,551.3152,13.193042,225.25815,11.726878,1440000,0.4273757,230.48605,0.1506368
19,554.4649,554.040256,13.162072,226.10075,11.721216,1440000,0.4274737,230.68518,0.15052986
20,548.995,548.551584,13.186009,226.9892,11.728209,1440000,0.4273966,230.86678,0.15051112
21,548.8463,548.516544,13.247914,227.32785,11.732518,1440000,0.42718568,230.90756,0.1509986
22,540.5213,540.209856,13.376053,227.22133,11.727394,1440000,0.4269201,230.93102,0.15210973
23,563.5997,563.268096,13.497472,226.80634,11.736109,1440000,0.42663708,231.06552,0.15274723
24,536.3516,536.010976,13.51105,226.00583,11.74238,1440000,0.42628714,231.19102,0.1529243
25,550.1007,549.756288,13.392578,225.18031,11.739801,1440000,0.42601198,231.54126,0.15232986
26,540.5904,540.23072,13.312764,225.12384,11.719128,1440000,0.4258241,231.84633,0.15187153
27,537.6564,537.32768,13.280769,224.06458,11.730979,1440000,0.42582437,232.71869,0.15154792
28,663.653,663.367456,13.301503,222.16302,11.759121,1440000,0.42607182,233.63162,0.15125416
29,531.4622,531.089408,13.209614,219.97386,11.769576,1440000,0.42640615,234.22441,0.15066597
30,547.0098,546.713376,12.993779,216.90387,11.78285,1440000,0.42668217,234.42953,0.1492618
31,522.0009,521.65632,12.750433,214.99324,11.774679,1440000,0.42701077,234.17815,0.14765348
32,531.6027,531.206976,12.684853,214.53833,11.7252865,1440000,0.42734563,233.43811,0.14739722
33,520.2539,519.856128,12.638406,214.53346,11.697735,1440000,0.42765066,232.20102,0.14727362
34,556.5673,556.279136,12.54745,214.75536,11.679314,1440000,0.4279303,231.78456,0.14682153
35,519.3693,519.081504,12.422934,215.04622,11.693636,1440000,0.42820394,231.45218,0.14609167
36,538.3779,537.837568,12.294704,215.19102,11.690421,1440000,0.4284268,230.81154,0.14538403
37,545.6991,545.36448,12.220847,215.41307,11.675558,1440000,0.42863435,229.36136,0.14531945
38,553.0019,552.634432,12.121457,215.70314,11.66721,1440000,0.42884046,227.64293,0.1451764
39,538.3312,538.032128,12.038111,216.42665,11.640466,1440000,0.42895856,225.0634,0.14482084
40,538.398,538.02448,11.930034,217.45685,11.66178,1440000,0.4290111,222.57083,0.14422917
41,558.588,558.269088,11.816426,218.48611,11.7012205,1440000,0.42899942,221.55823,0.14331667
42,564.6466,564.18688,11.713019,219.21577,11.747705,1440000,0.42894793,221.39145,0.14245556
43,670.1277,669.7704,11.698477,219.43251,11.789355,1440000,0.4288282,221.33093,0.14222223
44,564.7935,564.48,11.649022,219.12845,11.852351,1440000,0.4286026,221.33882,0.14171806
45,567.2092,566.926144,11.472251,218.91791,11.918075,1440000,0.4283017,221.45244,0.1402125
46,569.6117,569.296992,11.360736,219.09486,11.941234,1440000,0.42797834,221.32494,0.13923055
47,570.1929,569.895264,11.301282,218.5501,11.959461,1440000,0.42786682,221.22208,0.13870972
48,542.2465,541.917952,11.256412,217.39473,12.001458,1440000,0.4278367,221.04384,0.13846806
49,599.9742,599.625632,11.173392,216.4591,11.99329,1440000,0.42770857,221.29715,0.13811041
50,535.1393,534.769728,11.067053,216.29846,11.9759445,1440000,0.42745247,221.80414,0.13738473
51,548.8006,548.462688,11.042747,216.5906,11.94075,1440000,0.42715135,222.33255,0.13743472
52,574.4485,574.160256,11.058221,217.7648,11.925281,1440000,0.4268433,222.74068,0.13774653
53,540.6998,540.387232,11.125527,219.23573,11.880683,1440000,0.42656192,223.19934,0.13813959
54,569.358,569.043712,11.207686,219.94312,11.844072,1440000,0.42637965,223.27641,0.13858958
55,568.7377,568.434464,11.364082,219.7,11.854639,1440000,0.42629486,223.08084,0.1391993
56,542.02,541.677568,11.55527,218.93176,11.827267,1440000,0.42628807,223.19453,0.14026459
57,530.5198,530.200544,11.77338,217.51299,11.815596,1440000,0.42639607,223.78314,0.14184028
58,533.7033,533.379168,11.958786,215.93152,11.777282,1440000,0.42653453,224.49568,0.1434
59,507.4422,507.126368,12.052651,214.10692,11.768695,1440000,0.42664877,224.37059,0.14436597
60,531.6876,531.372032,12.041258,212.58034,11.774439,1440000,0.4267947,224.0159,0.14444166
61,519.6955,519.405568,12.067208,211.69687,11.736901,1440000,0.42696217,223.40678,0.14464931
62,516.6741,516.337024,11.973136,210.45671,11.734658,1440000,0.42706227,223.0484,0.14380069
63,508.428,508.09408,11.815768,209.59334,11.772156,1440000,0.42705095,223.59532,0.14245208
64,541.5231,541.207008,11.720838,209.13147,11.798261,1440000,0.42694786,224.94623,0.14115486
65,536.5026,536.194816,11.712939,209.01591,11.817674,1440000,0.4268746,226.04526,0.14043333
66,531.6774,531.314752,11.700872,209.3606,11.845321,1440000,0.42681995,226.1833,0.13949722
67,534.5414,534.322464,11.756253,209.49373,11.862759,1440000,0.4267634,225.98332,0.13929862
68,528.8412,528.605184,12.008844,209.58151,11.841671,1440000,0.42665908,225.25641,0.1406368
69,540.9369,540.60448,12.15468,210.12695,11.793228,1440000,0.42655784,223.88577,0.14125417
70,597.7555,597.469184,12.321144,210.84009,11.767189,1440000,0.42650986,222.5634,0.14217015
71,538.4625,538.177536,12.463813,211.55489,11.751473,1440000,0.42656842,220.97075,0.14293264
72,541.1404,540.834048,12.660498,212.953,11.709589,1440000,0.42671415,219.58873,0.14422639
73,548.0756,547.770368,12.660944,214.60378,11.681437,1440000,0.42686823,218.80032,0.14399028
74,680.6967,680.395968,12.678664,215.92151,11.6760235,1440000,0.42698562,217.65062,0.14394791
75,577.2349,576.884672,12.72592,216.85187,11.698456,1440000,0.42714468,216.59433,0.14415556
76,537.4414,537.112864,12.79455,218.19742,11.735869,1440000,0.4273736,216.07195,0.14439376
77,716.1395,715.808864,12.935078,219.24251,11.774006,1440000,0.4276726,215.78964,0.1451132
78,548.3376,548.04768,13.070979,219.62582,11.815692,1440000,0.42809436,215.93489,0.14611736
79,535.8719,535.569664,13.211774,218.93393,11.850904,1440000,0.4283428,216.2239,0.14729445
80,701.0241,700.696544,13.287604,217.5427,11.900662,1440000,0.4283736,216.4674,0.14738542
81,547.7821,547.463168,13.043494,216.07437,11.9698,1440000,0.42825815,216.6531,0.14548124
82,684.2738,683.854752,12.946103,214.5503,12.021472,1440000,0.42818233,217.10233,0.14429376
83,741.796,741.463776,12.871805,214.01228,12.075094,1440000,0.4280993,217.99747,0.14317916
84,535.567,535.244992,12.899943,214.30522,12.090533,1440000,0.42791638,219.11176,0.14269444
85,537.827,537.52816,13.026778,213.69989,12.060678,1440000,0.42768246,220.26668,0.14282084
86,524.8686,524.55424,13.029597,212.5675,12.056916,1440000,0.42746764,221.92795,0.14274445
87,672.2741,671.9664,13.084304,211.24565,12.017244,1440000,0.42729667,222.92667,0.14344513
88,523.9327,523.610112,12.9580555,209.9613,12.023181,1440000,0.4272053,223.92728,0.14287223
89,577.5125,577.140544,12.854091,209.43004,11.999827,1440000,0.42724672,224.66725,0.14235486
90,522.7016,522.366944,12.7619,209.47842,11.99713,1440000,0.4273359,225.37987,0.14205347
91,526.0664,525.730048,12.598236,209.76505,11.995012,1440000,0.42736992,225.80797,0.1413375
92,622.1194,621.801088,12.463506,210.11905,11.986829,1440000,0.42737865,225.48587,0.14087847
93,520.6181,520.2944,12.228806,210.68105,11.980702,1440000,0.42742524,224.65433,0.13948403
94,536.27,535.92064,12.003286,211.16585,12.000155,1440000,0.42746505,223.7392,0.13826667
95,540.8118,540.515296,11.813836,211.5776,12.010262,1440000,0.42745692,221.73119,0.13750695
96,516.7305,516.352,11.705104,212.31215,12.005983,1440000,0.42740366,220.56026,0.1376118
97,538.1907,537.881888,11.594265,212.81616,12.008306,1440000,0.4273354,220.3795,0.13776459
98,522.2547,521.787168,11.531624,213.05444,12.007706,1440000,0.42728904,220.43716,0.13803056
99,596.2119,595.841696,11.557032,213.55649,11.986895,1440000,0.42729324,220.42827,0.13884027
100,555.4896,555.184128,11.586507,214.03865,11.926902,1440000,0.42735076,220.00583,0.13949166
101,667.3761,667.076608,11.6534,214.65295,11.841066,1440000,0.42742145,219.5469,0.14032084
102,615.0867,614.786752,11.684109,215.10507,11.799069,1440000,0.42751637,218.7318,0.1408507
103,559.1936,558.890976,11.848215,215.9242,11.747423,1440000,0.42744923,218.40749,0.14210486
104,534.1204,533.823488,11.9145565,216.95444,11.727622,1440000,0.42735448,218.7986,0.14240626
105,538.0212,537.657344,12.0371275,218.65149,11.714058,1440000,0.4273726,219.33292,0.14305486
106,530.7178,530.3584,12.140031,220.08302,11.706038,1440000,0.42744696,219.70451,0.14355487
107,559.8089,559.48288,12.226167,220.53146,11.713578,1440000,0.42750537,219.84595,0.14385277
108,556.3413,556.009472,12.3679695,221.2756,11.73358,1440000,0.42752066,219.7327,0.1446868
109,651.6857,651.355008,12.56045,222.33513,11.735336,1440000,0.42742434,219.69772,0.14546458
110,569.1734,568.948736,12.900492,223.06236,11.726128,1440000,0.42736003,219.69229,0.14653194
111,633.7745,633.490016,13.243883,222.092,11.731216,1440000,0.4273485,219.95514,0.14811666
112,553.5426,553.19552,13.411169,221.13295,11.751647,1440000,0.42740005,220.1541,0.14893542
113,559.0481,558.768128,13.549206,220.09958,11.742891,1440000,0.42745334,219.79628,0.14974652
114,563.5056,563.132992,13.689442,219.60086,11.730403,1440000,0.42740086,219.42784,0.1506361
115,548.392,548.02576,13.831446,219.77766,11.752178,1440000,0.42714113,219.53215,0.15142986
116,552.9546,552.65408,13.914753,220.21033,11.771973,1440000,0.42667797,219.78056,0.152025
117,560.4052,560.105952,14.025583,220.72607,11.803014,1440000,0.42605245,220.03654,0.15272917
