# RunType: QualityPreset: HIGH
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,164.1843,163.87952,7.9092245,78.034775,11.78782,1440000,0.41183963,112.21221,0.13365
1,168.567301,168.22576,7.927064,78.10611,11.778669,1440000,0.41190684,112.45597,0.13386737
2,176.2191,175.898688,7.9492426,78.16878,11.766642,1440000,0.41196477,112.68746,0.13411528
3,165.6005,165.27824,7.965957,78.1993,11.758799,1440000,0.41202253,112.89448,0.13432014
4,184.9386,184.613152,7.98492,78.23423,11.750871,1440000,0.4120682,113.07835,0.13457222
5,169.2092,168.89024,8.003556,78.242165,11.743131,1440000,0.41211125,113.238594,0.13481736
6,168.7309,168.373696,8.02108,78.22777,11.733727,1440000,0.41214448,113.37051,0.13508542
7,171.2266,170.916352,8.031083,78.210884,11.733642,1440000,0.4121734,113.51295,0.13525
8,173.4054,173.056416,8.035337,78.21866,11.731365,1440000,0.41220528,113.64721,0.13534583
9,171.023,170.727328,8.030316,78.231476,11.729843,1440000,0.412237,113.781296,0.13533959
10,174.3932,174.058112,8.005989,78.193756,11.732208,1440000,0.41225854,113.86342,0.13510764
11,166.0028,165.617952,7.9582973,78.16321,11.736934,1440000,0.41227135,113.904526,0.1345632
12,165.799299,165.472352,7.9193187,78.12855,11.737477,1440000,0.4122755,113.956665,0.13414097
13,177.219501,176.877376,7.8825474,78.09648,11.741634,1440000,0.4122755,113.99823,0.1338125
14,169.6553,169.366176,7.8627877,78.06436,11.741266,1440000,0.4122707,114.059654,0.13369653
15,169.2207,168.916992,7.852387,78.03038,11.739425,1440000,0.41225693,114.1254,0.13369583
16,170.8186,170.525792,7.828643,77.99234,11.743073,1440000,0.41224352,114.17843,0.13355139
17,170.7137,170.409984,7.7908964,77.94195,11.75532,1440000,0.4122312,114.25497,0.13327639
18,164.6994,164.374976,7.75331,77.88551,11.767353,1440000,0.4122155,114.33997,0.13306111
19,168.3894,168.0656,7.7346926,77.81991,11.771834,1440000,0.4122015,114.4318,0.13310486
20,168.718599,168.364,7.7166944,77.740074,11.780681,1440000,0.4121881,114.4834,0.13314931
21,168.799501,168.421344,7.6861315,77.63642,11.780505,1440000,0.41217637,114.501274,0.133
22,171.497299,171.145984,7.656259,77.511826,11.781628,1440000,0.41216975,114.51505,0.13286737
23,169.966901,169.60272,7.639957,77.38741,11.783697,1440000,0.41216716,114.539925,0.13283263
24,168.5789,168.2432,7.6286283,77.2986,11.783684,1440000,0.41216674,114.57832,0.13274583
25,164.9453,164.58752,7.6228757,77.23096,11.7852,1440000,0.4121672,114.59791,0.13265347
26,178.3921,178.059904,7.601165,77.16182,11.781006,1440000,0.41216683,114.61159,0.13240764
27,180.468,180.164128,7.5800624,77.11241,11.7774,1440000,0.41216016,114.61183,0.13214028
28,168.1875,167.839744,7.5569506,77.04408,11.772023,1440000,0.41216645,114.63985,0.13183194
29,164.0796,163.745376,7.537857,77.040344,11.764378,1440000,0.41217607,114.70412,0.13162847
30,163.0664,162.770944,7.522518,77.03713,11.761668,1440000,0.41219145,114.75556,0.13146111
31,170.1123,169.799136,7.5043654,77.03182,11.76231,1440000,0.41221264,114.79072,0.13126041
32,168.8484,168.531872,7.4810486,77.03561,11.7682,1440000,0.41223904,114.84339,0.13102292
33,178.0518,177.714816,7.464218,77.02537,11.7744665,1440000,0.4122659,114.86608,0.1308493
34,214.3523,210.273632,7.438171,77.029976,11.784135,1440000,0.4122901,114.88573,0.13055278
35,162.322,161.70832,7.4224424,76.99415,11.792682,1440000,0.4123137,114.88925,0.1303875
36,188.296499,188.070944,7.4220605,76.965996,11.802697,1440000,0.41232622,114.92854,0.13043402
37,202.032901,201.662656,7.418571,76.97639,11.805419,1440000,0.41232964,114.89819,0.13045555
38,164.3381,163.973984,7.4191813,76.95684,11.8008585,1440000,0.41232908,114.82559,0.13046181
39,171.9252,171.56096,7.409923,76.89791,11.801794,1440000,0.41232884,114.77132,0.13033819
40,172.4504,172.140896,7.400251,76.85083,11.808081,1440000,0.41232327,114.71606,0.13021736
41,168.7243,168.423584,7.3927665,76.8165,11.816122,1440000,0.41230592,114.66242,0.1300493
42,182.683,182.330528,7.38077,76.80235,11.822072,1440000,0.41228202,114.63024,0.12976459
43,170.831399,170.468256,7.372123,76.8134,11.820672,1440000,0.41224355,114.567665,0.12954584
44,159.011501,158.679424,7.3533916,76.8057,11.820519,1440000,0.41220126,114.495544,0.12928402
45,173.4351,173.105152,7.336423,76.805115,11.822328,1440000,0.4121574,114.389694,0.12903056
46,165.7588,165.382144,7.3322687,76.78941,11.826136,1440000,0.41210586,114.27937,0.12884167
47,165.3732,165.01504,7.3224144,76.7561,11.832014,1440000,0.4120539,114.13929,0.12858403
48,169.0593,168.725856,7.3085055,76.71514,11.838992,1440000,0.41200492,113.99797,0.12831528
49,165.2587,164.910336,7.304098,76.696785,11.843317,1440000,0.41195756,113.85913,0.1281132
50,167.1028,166.772896,7.3028245,76.676254,11.8448,1440000,0.41191965,113.72792,0.12792708
51,164.5545,164.18816,7.296493,76.65707,11.849673,1440000,0.41188568,113.57992,0.12776458
52,164.8538,164.462592,7.298149,76.65746,11.849922,1440000,0.4118536,113.43912,0.1276868
53,163.0977,162.763648,7.2978797,76.65739,11.851383,1440000,0.41182643,113.28401,0.1276
54,163.3612,163.024064,7.3063602,76.67332,11.852231,1440000,0.41179392,113.0914,0.12752709
55,166.1709,165.849088,7.3163867,76.66205,11.842428,1440000,0.41177535,112.92685,0.12748055
56,162.992,162.703488,7.3204618,76.62621,11.831011,1440000,0.41177154,112.77092,0.12739237
57,168.5275,168.230912,7.3207235,76.588875,11.822145,1440000,0.41177624,112.5883,0.12729098
58,164.908,164.60384,7.302688,76.51561,11.82177,1440000,0.4117753,112.4341,0.12705556
59,169.605999,169.12384,7.294177,76.41913,11.824703,1440000,0.41178334,112.32056,0.12688611
