frame,cpu_ms,gpu_ms
0,146.4274,145.223008
1,147.232199,146.131072
2,151.361601,150.123392
3,150.6618,149.4136
4,146.3691,144.99056
5,149.699599,148.450176
6,151.493301,149.957408
7,149.4425,148.334304
8,142.9679,141.87088
9,148.633,147.601408
10,147.0284,145.807328
11,147.2138,146.21696
12,144.102999,142.723072
13,155.399301,154.2784
14,152.299999,151.068672
15,148.627401,146.933888
16,150.4843,149.186656
17,153.1484,152.08448
18,159.3076,157.98944
19,151.8206,150.796288
20,151.1892,149.889152
21,154.8248,153.699296
22,155.8572,154.599424
23,153.9868,152.866848
24,154.666499,153.483264
25,161.535001,159.883264
26,154.3759,153.044608
27,154.2563,153.1376
28,149.664199,148.33664
29,155.169201,153.2952
30,146.935699,145.866048
31,149.7347,148.748832
32,152.636801,151.457792
33,147.7665,145.964736
34,149.526799,148.242432
35,154.985401,153.293312
36,154.6506,153.31872
37,151.1469,149.458464
38,152.6974,151.430528
39,152.5402,150.862496
40,147.6373,146.167296
41,148.093999,147.151232
42,147.4143,146.122752
43,147.4428,146.356128
44,144.922601,143.484544
45,148.8155,147.795136
46,149.3596,148.125088
47,145.1685,144.103424
48,146.2055,144.777216
49,143.8269,141.96128
50,151.053699,149.883648
51,148.911001,145.535872
52,157.8093,157.049344
53,155.628,154.510528
54,144.6841,143.394816
55,150.2385,149.2792
56,151.8207,150.56464
57,151.9492,150.618624
58,151.634,150.67136
59,154.085399,152.928256
60,145.252401,143.866208
61,158.776899,158.007328
62,151.425701,150.213248
63,152.529999,151.23456
64,150.999501,150.073248
65,155.9851,154.54208
66,162.2041,160.997376
67,155.6959,154.588576
68,162.6108,161.309216
69,151.6522,149.876064
70,158.2583,156.999744
71,158.1234,156.470528
72,156.193299,154.718208
73,163.948501,162.919136
74,159.9049,158.642304
75,155.3182,153.61024
76,152.3203,151.040832
77,153.671599,152.573952
78,150.947501,149.80096
79,158.6197,157.554208
80,151.6275,150.124448
81,150.949099,149.932544
82,168.912701,167.593984
83,155.572699,154.681344
84,157.893101,157.03712
85,160.7294,159.238048
86,161.946699,160.694944
87,151.5719,150.690304
88,154.164501,152.51664
89,161.513499,159.926272
90,156.217701,154.75328
91,156.7039,155.792832
92,153.580099,152.331968
93,150.827401,149.840064
94,158.7192,157.52192
95,156.1731,154.926208
96,152.6731,151.353408
97,150.6774,149.630464
98,156.2791,154.99072
99,159.688399,158.521344
100,151.978701,150.679232
101,160.8353,159.153728
102,162.0132,160.668096
103,153.722,152.952384
104,157.9054,156.913664
105,155.1858,153.675776
106,162.1325,160.884416
107,160.0233,159.323872
108,161.7405,160.661056
109,162.371999,160.954688
110,163.337801,162.074784
111,167.3609,166.559744
112,163.561,162.592096
113,153.6008,152.82928
114,161.9828,160.55648
115,157.782,156.39472
116,173.916299,172.585344
117,151.871801,151.08816
118,162.1475,160.501824
119,156.711,155.214848
120,162.8909,161.574912
121,158.6001,157.856928
122,156.057599,155.025408
123,160.873001,159.297056
124,159.8763,158.535488
125,164.4548,163.36896
126,159.6343,158.354048
127,153.4826,151.839968
128,163.6748,162.30032
129,165.3619,164.458656
130,160.618999,159.758688
131,163.265701,161.806912
132,159.3514,158.248192
133,166.931,165.925824
134,160.877199,159.646176
135,168.148101,166.943776
136,159.4178,158.584032
137,165.2546,163.731904
138,168.247099,166.850528
139,167.094801,165.846016
140,155.4063,153.972096
141,160.4894,158.859712
142,167.8497,166.680576
143,171.964399,171.19536
144,158.362601,157.356416
145,163.308599,161.908992
146,161.334201,160.128896
147,163.9862,163.241952
148,163.1715,162.201536
149,160.8701,160.152416
150,155.937499,154.245792
151,160.0721,158.563424
152,165.155501,163.861984
153,159.5326,158.744576
