frame,cpu_ms,gpu_ms
0,5.974,4.91184
1,6.5992,5.146912
2,6.1256,4.59776
3,6.1662,5.080704
4,6.3529,5.26336
5,6.3875,5.250784
6,6.2796,4.976512
7,6.4552,4.97488
8,6.9709,5.502912
9,6.4072,5.126176
10,6.9855,5.545984
11,6.5574,5.062144
12,11.8832,5.004992
13,7.1612,5.509568
14,6.8518,4.510272
15,6.4287,4.685824
16,6.5201,5.180576
17,6.4657,5.105888
18,6.3815,5.007072
19,5.8637,4.841664
20,6.2618,4.843872
21,6.4627,5.224448
22,6.0025,4.698496
23,6.6165,5.402944
24,6.535,5.29168
25,7.0554,5.723552
26,6.987,5.601152
27,6.293,5.23264
28,7.0333,5.82688
29,6.3446,5.121152
30,6.6465,5.356992
31,6.3255,4.899328
32,6.1529,5.21216
33,6.4439,5.222112
34,5.5869,4.712448
35,6.3978,5.173248
36,5.691,4.79008
37,5.7714,4.876288
38,6.1272,5.310144
39,6.2094,5.402624
40,5.6936,4.84352
41,6.0647,5.294048
42,5.8873,4.87872
43,6.3309,5.246208
44,5.7629,4.950944
45,6.1645,5.056512
46,6.8341,5.57056
47,6.225,5.053984
48,6.1856,5.236736
49,6.2705,5.312928
50,5.9736,5.13328
51,7.4772,5.961312
52,7.2541,6.100992
53,6.7999,5.610176
54,43.2988,5.020832
55,6.5802,5.12784
56,5.7234,4.614112
57,6.0613,4.837376
58,6.6925,4.721248
59,5.7817,4.918496
60,5.7578,4.713632
61,5.6878,4.840736
62,6.9764,5.6832
63,6.2986,5.133216
64,5.7295,4.957632
65,6.1983,5.15264
66,5.9278,5.01168
67,6.4265,5.554144
68,6.4261,5.28128
69,6.5882,5.242848
70,6.3994,5.24176
71,6.9337,5.558432
72,6.7529,5.480448
73,6.8679,5.507072
74,6.3773,5.414496
75,6.4423,5.394848
76,6.6507,5.368768
77,6.2803,4.933632
78,6.2546,5.019648
79,5.7617,4.796352
80,6.1424,5.055968
81,6.3931,5.349344
82,5.5593,4.657152
83,6.0991,5.183168
84,6.3503,4.990336
85,5.7109,4.882176
86,6.6023,5.352704
87,5.9756,5.058048
88,5.9344,4.976512
89,6.0708,5.124096
90,6.3011,4.982592
91,6.1286,5.13504
92,5.9319,5.123232
93,7.037,5.39648
94,6.3346,5.487136
95,5.7414,4.841984
96,5.6749,4.930624
97,5.9066,5.041472
98,5.854,5.013728
99,6.46,5.623072
100,6.2184,5.072896
101,5.91,4.659136
102,6.1179,5.103616
103,6.2973,5.163008
104,5.7675,4.811648
105,6.4463,5.1712
106,6.1247,5.244928
107,6.3295,4.937088
108,5.8303,4.643392
109,6.1225,5.086944
110,5.7184,4.829184
111,5.995,4.717856
112,5.9474,5.06736
113,6.7253,5.276096
114,5.7019,4.86944
115,5.9279,4.67968
116,5.9797,4.97136
117,7.1739,5.091328
118,13.3424,5.470208
119,6.4897,4.974976
120,11.4512,5.813632
121,7.7554,4.745216
122,6.5017,5.461216
123,15.5343,5.343232
124,7.8376,4.9664
125,6.3204,5.210784
126,6.5971,5.26944
127,7.0961,5.776192
128,6.7805,4.62704
129,8.8606,4.761856
130,6.0545,5.052416
131,6.3113,5.24528
132,12.977,5.476352
133,7.1831,4.761536
134,7.192,5.323328
135,7.489,4.92336
136,8.0228,4.843744
137,6.8375,5.38256
138,6.7059,5.623744
139,6.5088,5.056576
140,6.2404,4.67968
141,7.4197,4.82384
142,5.6979,4.439232
143,6.3819,5.100832
144,5.9439,5.016576
145,5.9905,4.706112
146,5.8432,4.632448
147,6.6189,5.078464
148,6.2705,5.093376
149,6.0766,4.804608
150,5.9316,4.870272
151,6.3232,5.022496
152,6.8027,5.368576
153,6.6804,5.69872
154,6.2726,5.5296
155,6.0291,5.220064
156,6.242,5.505856
157,6.4329,5.662048
158,5.9577,5.108544
159,5.8187,5.084512
160,5.965,5.18144
161,6.3722,5.438496
162,6.3023,5.181952
163,6.5285,5.33696
164,6.2563,5.29152
165,7.2459,5.419168
166,6.1567,5.240192
167,5.8678,4.749312
168,6.9481,5.716032
169,5.7288,4.75232
170,5.8826,4.8064
171,6.3987,5.011232
172,6.2184,5.30192
173,6.6388,4.471072
174,5.6852,4.724736
175,6.199,4.994048
176,6.0422,4.656512
177,6.6912,5.31456
178,6.3668,5.111744
179,7.6774,6.017024
180,6.1619,5.257696
181,6.1712,5.30224
182,13.9354,5.614592
183,6.41,4.75776
184,5.9971,4.802368
185,6.6677,5.203968
186,5.7808,4.614144
187,6.3208,5.057152
